"lineage","country","date","N.T366R","ORF1b.P314L","S.D614G","ORF3a.G224C","ORF1a.S2024L","S.R78G","S.D80Y","S.V1228L","ORF1a.N278K","ORF1b.G1129V","ORF1a.K2656E"
"B.1.181","USA","2020-05-27",1,1,1,0,0,0,0,0,0,0,0
"B.1.181","USA","2020-05-31",1,1,1,0,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-01",1,1,1,0,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-01",1,1,1,0,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-01",1,1,1,0,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-01",1,1,1,1,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-02",1,1,1,1,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-03",1,1,1,1,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-06",1,1,1,0,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-07",1,1,1,0,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-07",1,1,1,0,1,1,1,1,0,0,0
"B.1.181","USA","2020-06-08",1,1,1,0,1,0,1,1,0,0,0
"B.1.181","USA","2020-06-08",1,1,1,0,1,0,1,1,0,0,0
"B.1.181","USA","2020-06-08",1,1,1,0,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-11",1,1,1,0,1,0,1,1,0,0,0
"B.1.181","USA","2020-06-10",1,1,1,0,1,0,1,1,0,0,0
"B.1.181","USA","2020-06-11",1,1,1,0,0,0,0,0,0,0,0
"B.1.181","USA","2020-06-17",1,1,1,0,0,0,0,0,1,0,0
"B.1.181","USA","2020-06-20",1,1,1,0,1,1,1,1,0,0,0
"B.1.181","USA","2020-06-29",1,1,1,0,1,1,1,1,0,1,0
"B.1.181","USA","2020-07-01",1,1,1,0,1,1,1,1,0,0,1
