"lineage","country","date","M.I82T","N.P13L","N.S201I","N.T205I","ORF1a.F548S","ORF1a.A2123V","ORF1a.E2607K","ORF1a.M3752I","ORF1a.K3929R","ORF1b.P314L","ORF7a.E22D","ORF9b.P10S","ORF9b.S53L","S.I210T","S.N440K","S.E484K","S.D614G","S.D936N","S.S939F","S.T1027I","ORF7a.V82A","ORF7a.T120I","ORF1b.A2407S","ORF7a.P34L","N.M234I","ORF1a.T265I","ORF1a.T2087I","ORF1a.K3162E","ORF1a.L3201P","ORF1a.A3209V","ORF1a.P3359S","ORF1a.V3847I","ORF1b.D1914G","ORF3a.P42L","ORF3a.Q57H","ORF8.T11I","ORF8.A51S","ORF8.R101C","ORF9b.P39L","S.D80G","S.F157S","S.L452R","S.T791I","S.T859N","S.D950H","S.V1122L","N.L139F","ORF1a.S376L","ORF1a.S443F","ORF1a.D1127N","ORF1a.A2508V","ORF1a.N4078S","ORF1b.A176V","ORF1b.P970S","ORF3a.D199Y","ORF7b.D8Y","ORF7b.I26V","S.D796Y"
"B.1.619.1","Germany","2021-07-10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619.1","Germany","2021-07-14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619.1","Germany","2021-07-27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619.1","Germany","2021-07-27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619.1","Germany","2021-07-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619.1","Germany","2021-08-04",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619.1","Germany","2021-07-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619.1","Switzerland","2021-06-25",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619.1","USA","2021-05-11",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619.1","USA","2021-05-13",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619.1","Venezuela","2021-02-28",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
