"lineage","country","date","N.S2P","N.S194L","ORF1a.R207S","ORF1a.T1001I","ORF1b.P314L","ORF1b.D1373Y","ORF1b.H2065Y","ORF1b.D2142Y","ORF1b.L2523F","ORF3a.Q57H","ORF3a.E261.","ORF8.A51V","ORF8.S97I","S.N440K","S.D614G","S.P681H","ORF1a.L552I","ORF1a.K1202N","ORF1b.H1087Y","ORF3a.G224C","S.D138Y","ORF1a.I671V","ORF1a.I3944V","ORF3a.I20V","ORF3a.E194D","ORF1a.H388Y","ORF1a.P3395L","ORF1a.Q3777R","ORF1b.S2212I","ORF3a.D142G","ORF3a.M260I","ORF8.Q18.","S.Q52H","S.A222S","N.T24I","S.L5F","ORF1a.G445V","ORF1a.V2052L","ORF1a.L3606F","ORF1b.D275Y","ORF1b.Y710C","ORF1b.M1197I","ORF3a.G100C","ORF1a.I1435V","ORF1b.L1099F","ORF1b.A1219S","ORF1b.D1389Y","ORF3a.D155Y","ORF8.V62L","S.T588I","S.A845S","S.A1080S","N.Q389H","ORF1a.S3547G","ORF1b.A176S","ORF1b.K2310R","ORF1b.R2613H","M.M84T","ORF1b.T1522I","ORF7b.L11F","S.Q675H","ORF1a.E1244G","ORF1b.G1129S","S.G184V","M.A69S","ORF8.D107H","N.T205I","N.D348Y","ORF1a.R207L","ORF1a.P309L","ORF1a.L3930F","ORF1b.T76I","ORF3a.V55G","M.A38S","N.R185C","N.A208V","ORF1a.V1287L","ORF1a.T1854I","ORF1a.S3384L","ORF1a.M3862I","S.V193L","S.A222V","ORF1a.D2043N","ORF3a.V202L","S.G181A","ORF1b.N1919S","ORF1b.A2585S","ORF3a.L53F","ORF3a.S92L","ORF1a.V3653F","ORF1b.R2613S","N.L139F","ORF1a.P892S","ORF1a.T1093N","ORF1a.A1234V","ORF1a.A2123V","ORF1a.N3537D","ORF1a.S2103F","ORF1b.S1881I","ORF3a.Q185H","ORF1a.A599V","ORF1a.T1004I","ORF1a.T1589I","ORF1a.I3758V","ORF3a.Q17R","ORF3a.D238G","ORF7a.F114L","M.W75S","ORF1a.S944L","ORF1b.P314F","ORF1a.H3076Y","ORF3a.S216T","S.V213A","S.F490S","ORF1a.E1192D","ORF1a.P1879L","ORF1a.P2046S","ORF1a.L3027F","ORF1a.M3911I","ORF1b.P1645S","ORF1b.V1649F","ORF3a.T89I","ORF1a.T2859I","ORF1a.T3579I","S.V1122L","N.S33I","ORF1a.E754Q","ORF1a.A3143V","ORF9b.V30L","ORF1a.P971L","ORF1a.M1586I","ORF1a.T4129I","ORF1a.A1043V","ORF1a.G1073R","N.D348H","ORF1a.K292N","ORF1a.T3202M","ORF1b.A2222V","ORF1b.K2557R","ORF1a.T319I","ORF1a.S2242F","ORF1a.A2593T","ORF1a.H3509Y","ORF1a.A3987V","ORF1b.T393I","ORF3a.I124T","N.G243V","ORF1a.V1211F","ORF1a.P1220S","ORF1a.A1314V","ORF1b.V1149L","ORF1b.D1903Y","ORF1a.Q285L","ORF1a.D4344E","ORF1b.K89E","ORF1a.I222V","N.S193I","ORF1a.P371L","ORF1a.T4031I","ORF1b.M1156I","ORF3a.H93Y","S.G257S","S.Q628K","E.V75F","N.Q9H","ORF1a.V2783F","ORF9b.S6I","S.P631S","S.L1244F","ORF1a.A903S","ORF1a.P1147S","ORF1a.S2488F","M.A63T","N.N48Y","ORF1a.S318L","ORF1a.M1769V","ORF1a.T3058I","ORF1b.E913D","ORF3a.I118T","S.F157L","S.I834V","ORF1a.N363K","ORF1a.K1247R","ORF1a.L2062F","ORF1b.A2006V","ORF1b.A2306V","ORF1a.P3504L","ORF1a.S3885F","ORF7a.A55V","ORF8.E106.","M.M84I","ORF1a.T1760I","ORF1a.N4167S","ORF3a.W193R","ORF7a.T14N","N.M322I","ORF1a.A541V","ORF1a.T4204A","ORF1b.N129S","ORF3a.L129F","S.T95I","S.T323I","M.A2S","ORF1a.V306F","ORF1a.S1029N","ORF1a.T1168I","ORF1a.T4088I","ORF1a.K4198R","S.Q613H","N.R262H","ORF1a.M1014I","ORF1a.D2980G","ORF1a.K3979N","ORF1b.T1354I","ORF1a.S212P","ORF1a.S858Y","ORF3a.P262S","E.V49L","ORF1a.A3049V","ORF1b.P1427S","S.T22I","ORF1a.V1583I","ORF3a.G254V","ORF7a.P99L","ORF1b.L261F","ORF1b.E735D","S.L822F","S.K1191N","ORF1a.M1378I","ORF8.I10T","S.Q1208H","ORF1a.K2622N","ORF1b.Q813H","S.A647S","N.P13S","N.R195K","N.P207T","ORF1a.E102Q","ORF1a.T265I","ORF1a.A1298V","ORF1a.A2529V","ORF1a.K3353R","S.P681R","ORF1a.G3676C","ORF1b.A1219V","S.Q677H","ORF1a.P4075S","S.A27S","E.D72Y","M.A142V","ORF3a.T175I","S.T76I","ORF1a.M3669I","ORF1b.T17I","M.I24L","N.A182S","ORF1a.C936Y","ORF1a.W2135L","ORF1a.F2780S","ORF1a.C3682Y","ORF1b.A7V","ORF3a.T223I","ORF7a.H47Y","ORF1a.Q3777H","ORF1b.V1905L","ORF3a.K21N","ORF3a.K66N","S.N30S","S.S1242I","S.R765L","ORF1a.L2655F","ORF1a.S3517Y","ORF1b.H716Y","ORF3a.P240S","S.G75A","N.S2L","N.D103Y","ORF1a.S279F","ORF1a.G1488C","S.G261V","ORF1b.V1493L","ORF3a.G224R","S.T95N","S.E96D","ORF1b.Y1072C","N.G30R","N.A376V","ORF1a.Q575H","ORF1a.H1381Y","ORF9b.M26I","N.G243C","ORF1a.A1679V","ORF7a.L5F","S.P1162L","M.K166R","ORF1a.A1049V","ORF1a.M2254V","ORF1a.L3352F","ORF1a.T4083M","ORF1b.E1264D","ORF7a.Q62.","ORF7a.H73Y","ORF8.S24L","ORF1a.P2046L","ORF1a.R550H","ORF1a.A1352V","ORF1b.E427G","ORF1b.A1131V","ORF1a.A2584V","S.S477I","E.S68F","N.G25V","ORF1a.K3832N","ORF1a.A4394T","ORF1b.E2014D","ORF1b.T2332I","ORF1b.G2337V","ORF9b.A22S","ORF1a.S2015I","ORF1a.K4232R","ORF1a.A4357V","ORF1b.S1182L","ORF1b.Y1344H","ORF1b.T1999A","ORF3a.L127F","ORF7a.H47N","ORF7b.L6M","S.V687L","ORF1a.M789I","ORF3a.D173Y","ORF1b.A1291V","ORF1a.V1019F","ORF1a.K3353N","ORF7a.R89I","N.P365L","ORF3a.T176I","N.D401N","ORF1a.A656V","ORF7b.H37Y","ORF1a.S443F","ORF1a.A964V","ORF1b.R1171I","S.S494P"
"B.1.36.29","United Kingdom","2021-03-14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.29","United Kingdom","2021-03-29",1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.29","United Kingdom","2021-04-04",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.29","United Kingdom","2020-12-10",1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.29","United Kingdom","2021-02-04",1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.29","United Kingdom","2021-03-04",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.29","United Kingdom","2021-03-07",1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.29","United Kingdom","2021-03-10",1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.29","United Kingdom","2021-03-07",1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.29","United Kingdom","2021-03-13",1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
