"lineage","country","date","N.P67S","ORF1a.G353C","ORF1a.V1025L","ORF1a.S2030L","ORF1a.M3221I","ORF1b.P314L","ORF1b.D1848Y","ORF3a.T151I","ORF3a.Y184H","S.D614G","S.A222V","N.G215S","ORF1a.P276S","ORF1a.T882I","ORF1a.M1647I","ORF1a.Q2963R","ORF1a.R3993C","ORF1b.L1933F","ORF3a.R68I","ORF1a.L3776F","ORF1b.D275Y","ORF3a.L53F","ORF9b.M78T","ORF7a.P99L","ORF1a.P804S","ORF1a.M3661V","ORF1b.T797I","ORF1a.A2129V","ORF7a.Q62H","ORF1a.K1895N","ORF8.T12I","ORF1a.V862I","ORF1a.P1220S","ORF1b.V225I","ORF1b.P2633L","ORF8.C102Y","ORF9b.R13H","S.V503I","ORF1b.G765C","S.C1254F","N.A217S","ORF1a.T4175I","ORF1b.T2488M","ORF9b.A57V","S.P621S","ORF1a.S2900L","ORF1b.A2222V","N.K342R","ORF1a.A1420V","ORF1a.V3653F","ORF1b.E1889K","N.D399N","ORF1a.A1397V","ORF1a.I2634V","ORF1b.A2589T","ORF8.D75G","S.K278R","ORF1b.N2607S","S.A684V","ORF1b.T730I","S.D111N","ORF1a.T1000I","ORF7a.E121.","ORF1a.L3606F","ORF3a.Q38K","ORF1a.P626L","E.T9I","N.P13S","ORF1a.R77Q"
"B.1.527","United Kingdom","2021-01-26",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","United Kingdom","2020-09-10",0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","United Kingdom","2020-10-13",0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","United Kingdom","2021-01-29",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","United Kingdom","2021-02-21",0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","Estonia","2020-09-18",0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","Estonia","2020-09-19",0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","Estonia","2020-09-26",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","Estonia","2020-09-27",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","Estonia","2020-09-28",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","Estonia","2020-09-28",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","Estonia","2020-09-29",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","Estonia","2020-09-29",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.527","Estonia","2020-09-29",1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
