"lineage","country","date","N.D22G","ORF1a.G445V","ORF1a.S944L","ORF1a.L3606F","ORF1b.D54Y","ORF1b.V1493L","ORF3a.G251V","ORF9b.I19V","ORF7a.Q94H","ORF1b.D884Y","ORF1a.G1100V","S.G1124V","ORF1a.G2842V","ORF1a.G3757V","ORF8.Y31H","S.P728S","ORF1a.F3838L","ORF7a.P99S","ORF1b.A88V","ORF7a.A105V","ORF1b.L2580F","ORF3a.V97I","ORF1a.P361S","ORF1a.P1786L","S.L5F","E.V24L","ORF1a.M297T","ORF7b.H42Y","ORF1a.G195C","N.A359S","ORF1a.A2529V","ORF1a.A4247S","ORF1a.V414I","M.T130I","ORF1b.K1447N","ORF1a.A903V","N.P168S","ORF8.E106.","ORF1b.S763Y","ORF1b.D2142Y","S.H655Y","S.C1247F","ORF3a.V197A","S.D138H","N.D377G","ORF1b.T730I","S.I101V","N.R203K","ORF1a.Q768L","ORF1a.A583V","ORF1a.V3763F","ORF1b.R717S","ORF1a.D335G","N.S193I","ORF1a.K2497R","ORF8.A65V","ORF1b.Q813H"
"B.31","Australia","2020",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.31","Australia","2020-03-24",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.31","Australia","2020-04-22",1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.31","Australia","2020-03-18",1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.31","Australia","2020-03-22",1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.31","Australia","2020-03-26",1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.31","Australia","2020-03-22",1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.31","Australia","2020-03-27",1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.31","Australia","2020-03-20",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.31","Australia","2020-03-22",1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
