"lineage","country","date","N.P207S","ORF1a.T265I","ORF1a.T781I","ORF1a.L1270I","ORF1a.K2589R","ORF1a.L3606F","ORF1b.P314L","ORF3a.Q57H","S.D614G","N.M234I","ORF1b.T2453I","ORF1a.G432S","ORF1a.E1311G","ORF1a.I1505T","ORF3a.R134H","N.T205I","ORF1a.Y576C","ORF1a.G934D","ORF1a.D4190E","ORF1b.V2073L","ORF1a.E381A","ORF1a.E1217A","ORF1b.M510L","ORF3a.L84V","S.L216F","ORF1a.G334C","S.H49Y","N.S194P","ORF3a.G172C","S.A653V","ORF1a.T1822I","ORF1a.E974K","ORF1a.A1679S","ORF1a.K3162E","ORF1a.L3201P","ORF1a.A3209V","ORF1a.V3847I","ORF1a.T4175I","ORF3a.P42L","ORF3a.P104F","ORF8.T11I","ORF8.A51S","ORF9b.P17L","S.D80G","S.F157S","S.G181A","S.T859N","S.L452R","S.D950H","M.S214I","N.D216E","ORF1a.T619I","ORF1b.V2515L","ORF7a.T39I","ORF1a.Q1582H","S.G798A","ORF1a.V337F","ORF1b.T797I","S.K1045N","N.H145Y","ORF1a.E754K","S.Q1208H","ORF1a.A2584T","ORF1b.L1361I","S.A1078T","ORF1a.D1939N","ORF7a.H47Y","ORF1a.A498V","ORF1b.R1687H","ORF1a.T1854A","ORF1a.N522D","ORF1b.Q813H","ORF7b.E3Q","ORF1a.S2488F","ORF1a.M3527I","ORF1b.T1540I","ORF3a.D155Y","E.V24M","ORF1a.P1158L","ORF1a.T3750I","ORF3a.D265N","ORF1a.S2625F","ORF1b.N2013S","ORF1a.P371S","ORF1b.L1220F","ORF1b.T1511I","ORF3a.L106F","S.E156V","S.S112L","ORF3a.P240L","ORF1a.A3392V","ORF1a.T1496I","ORF8.D107N","ORF1b.H604Y","ORF1b.L2017F","ORF3a.N152I","S.T22N","ORF1a.K3353R","ORF9b.P39L","ORF3a.D22E","ORF1a.N3382S","ORF6.N39T","S.V6F","S.I1183L","ORF1b.Q1878H","ORF1a.H1113Y","ORF1a.E1210K","ORF1a.A2033V","ORF1a.T2274I","ORF1b.T17I","ORF1b.K1873R","ORF1b.T2537I","ORF1a.E1363A","N.D3G","ORF1a.Q2574H","ORF3a.W131C","ORF1a.A903V","ORF3a.P104L","ORF1a.T2007A","S.L5F","ORF1a.I3140V","ORF3a.S171L","N.D377Y","ORF1b.A2655V","E.T9I","S.E554D","ORF1b.T114A","ORF1b.D2270Y","S.R102G","S.A522S"
"B.1.349","United Kingdom","2020-09-10",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.349","Estonia","2021-04-01",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.349","USA","2021-02-21",1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.349","USA","2020-12-11",1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.349","USA","2021-02-17",1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.349","USA","2021-02-22",1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.349","USA","2020-12-28",1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.349","USA","2021-01-25",1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.349","USA","2021-01-03",1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.349","USA","2020-10-24",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
