"lineage","country","date","N.R203K","N.G204R","ORF1a.K623Q","ORF1a.A1298V","ORF1a.A2199V","ORF1a.K3353R","ORF1a.V3975F","ORF1b.P314L","S.D614G","S.D1118Y","ORF6.E54G","ORF1b.E1728D","N.G215D","ORF1a.T1022I","ORF8.A51V","S.S254F","S.T618I","ORF8.D63G","N.R40C","ORF1a.H1500Y","ORF8.A65S","S.K417N","N.I84V","ORF1a.Q3922R","ORF1b.A517V","ORF1b.P970L","ORF9b.A57V","N.P199S","N.Q380H","ORF1b.K82N","ORF1b.L1504F","ORF1a.D762N","ORF1b.I838V","S.A871V","ORF8.T26I","ORF1a.N1262S","ORF1a.P4220S","ORF1a.G1101V","S.W258L","N.D103G","N.P383S","ORF1a.E976D","N.L161F","ORF1a.T1754I","ORF1a.L2609F","ORF1b.H1606R","S.P479S","S.D839Y","S.D950N","M.T7I","ORF1b.A941V","N.T247I","ORF1a.L2620F","ORF7a.D51Y","E.T9I","ORF1a.T4371I","ORF1b.G588D","ORF1b.A2132V","S.Q675H","ORF1a.G3757S","ORF1a.K3929N","ORF1a.P4197L","ORF1b.M620I","ORF1a.A474T","ORF1b.R1262H","ORF1b.P1975R","ORF1a.T814I","ORF7a.P99S","S.G72R","S.L441F","S.D1163A","ORF3a.R30H","M.A38S","ORF1a.L2620I","ORF3a.G44R","ORF1a.L2778F","ORF1a.L3086F","ORF1a.T1543I","ORF1a.L1075I","ORF1a.K2928N","ORF1b.D275Y","ORF3a.R68I","ORF1a.L3711F","ORF6.M58I","S.S255F"
"B.1.1.329","United Kingdom","2020-09-20",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.329","United Kingdom","2020-09-25",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.329","Mexico","2020-06-02",1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.329","USA","2020-12-24",1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.329","USA","2020-10-28",1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.329","USA","2020-09-14",1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.329","USA","2020-09-14",1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.329","USA","2020-11-04",1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.329","USA","2020-11-24",1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.329","USA","2020-11-30",1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
