"lineage","country","date","N.T198I","ORF1a.F548S","ORF1a.K2446N","ORF1a.N3937S","ORF1b.P314L","ORF1b.M2025I","ORF1b.V2117L","ORF1b.K2557R","ORF3a.Q57H","ORF3a.F105L","S.D614G","S.P681H","E.L74Q","ORF1a.S1587L","ORF1b.S904L","ORF7a.F65L","S.T747I","S.E773D","ORF1b.T1019I","ORF1a.S2352I","ORF1b.T1336I","ORF1a.S2535L","ORF1b.P976S","S.G261R","ORF1b.T2165M","ORF3a.L127F","N.D401Y","ORF1b.F325S","S.S929I","ORF1a.S944L","N.D401H","ORF1a.K2395Q","ORF1b.L2418I","ORF1a.A1397V","ORF3a.T217I","S.S884F","ORF1a.V2130F","ORF1a.T3506I","ORF1a.L3606F","ORF1b.V2073L","ORF3a.K21N","ORF8.Q18.","ORF9b.T84I","S.D138Y","ORF1a.M3129T","ORF1b.P218L","S.V622F","S.Q675R","M.N216S","ORF1a.A138V","ORF1a.T1328N","ORF1a.T2152I","ORF1b.K1194N","ORF1b.A2132V","ORF1a.L3800F","ORF1b.G662V","ORF1b.V666F","ORF3a.M5I","ORF1a.S3675F","S.D80Y","ORF3a.T175I","ORF1a.T1637I","S.N439K","ORF1b.A576V","ORF7b.L20R","S.P1162L","N.G18V","N.M210I","ORF1a.G465C","ORF1a.T3032I","ORF1a.I3576T","ORF1b.T284I","ORF1b.P1645L","ORF1b.Q1867L","ORF1b.Q2070H","ORF9b.V15L","S.G181V","S.V1122L","N.S413I","ORF1b.I2122M","ORF1a.D1089A","S.P384S","ORF1a.G146C","ORF1a.G894S","ORF1a.S3309F","ORF1a.R3662S","ORF1a.A3688V","ORF1b.H716Y","ORF1b.E1728D","ORF3a.S74F","ORF8.G8R","S.T73I","S.E583D","ORF1a.S549T","ORF1a.H417Y","ORF1a.I2230T","ORF1a.V3299I","S.A892S","S.G1099S","ORF1a.G1119C","S.P25S","E.P71L","ORF1a.P2018S","ORF1b.Y1464C"
"B.1.469","United Kingdom","2020-12-13",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.469","United Kingdom","2020-12-14",1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.469","United Kingdom","2020-12-15",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.469","United Kingdom","2020-12-18",1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.469","United Kingdom","2021-01-01",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.469","United Kingdom","2021-02-23",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.469","United Kingdom","2020-11-22",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.469","United Kingdom","2020-11-20",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.469","United Kingdom","2020-11-22",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.469","United Kingdom","2020-11-22",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
