"lineage","country","date","N.P142S","N.S194L","ORF1a.V1747I","ORF1b.P314L","ORF3a.S60P","ORF6.N34K","S.D614G","S.D1163Y","E.S68F","ORF1a.S391F","N.D144Y","ORF3a.L94F","ORF1b.A167T","ORF1b.C455F","ORF1b.V463L","S.P230L","N.P46S","ORF1a.I740V","ORF3a.N152D","ORF1b.P1866S","ORF3a.E102Q","ORF1a.P1207S","ORF1a.S1924N","ORF1a.T2166I","ORF1a.L3930F","ORF1b.S1003G","ORF1b.I2357V","ORF3a.Q213K","ORF7b.S5A","ORF1a.N4338S","ORF1b.P12S","ORF1a.R1628C","S.A27S","ORF1a.I2501T","ORF1a.M3345I","ORF1a.M4241I","ORF1b.V711I","ORF1b.H1213Y","ORF1b.A1521S","S.N439K","ORF1b.T385M","S.V622F","N.M234I","ORF1a.F255L","ORF1a.E1047G","ORF1a.A1283V","ORF1b.D816G","ORF3a.G254.","N.T334I"
"B.1.406","United Kingdom","2020-11-05",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.406","United Kingdom","2020-11-05",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.406","United Kingdom","2020-07-24",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.406","Switzerland","2020",0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.406","Germany","2021-02-11",0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.406","Germany","2021-02-19",0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.406","Germany","2021-02-12",0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.406","Germany","2021-01-22",0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.406","Germany","2021-01-29",0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.406","Germany","2021-02-01",0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
