"lineage","country","date","N.P383L","ORF1a.V3560F","ORF1b.P314L","ORF1b.E2261K","ORF1b.D2333H","ORF1b.A2334V","ORF1b.Q2335H","ORF3a.A23S","ORF3a.V55F","ORF3a.Q57H","ORF8.A65S","S.D614G","ORF1b.M897I","ORF1a.L1375W","S.R403K","N.D371Y","ORF1b.V1840F","ORF1a.F3132L","S.A958S","ORF1a.T965N","ORF1a.P1640S","ORF7a.A8V"
"B.1.442","USA","2020-07-13",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-04",0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-04",0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-04",0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-04",0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-04",0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-04",0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-05",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.442","USA","2020-05",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.442","USA","2020-05",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.442","USA","2020-05",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.442","USA","2020-05",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.442","USA","2020-05",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.442","USA","2020-05",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.442","USA","2020-05",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"B.1.442","USA","2020-05",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
"B.1.442","USA","2020-03",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-03",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-04",0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0
"B.1.442","USA","2020-05",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
"B.1.442","USA","2020-04",0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-04-03",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.442","USA","2020-04-07",0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
