"lineage","country","date","ORF1a.K3353R","ORF1b.P314L","ORF3a.A110S","ORF3a.S171L","S.D614G","N.S194L","ORF1a.L631F","ORF1a.M1769I","ORF1a.M2259I","ORF1a.I4127V","ORF1b.K1873N","ORF3a.S92L","S.S477N","ORF1a.Q362K","ORF1a.E743K","ORF1a.A3456T","ORF3a.V202L","N.Q9H","N.P162L","N.G212S","ORF1a.R560C","ORF1b.T2432I","ORF6.Q51L","ORF9b.S6I","ORF1a.P1862S","ORF9b.P3L","ORF1a.P4220L","ORF1a.T484A","ORF1a.A3615V","S.A688V","M.S212N","ORF3a.M125I","N.P142S","ORF1a.V3718F","S.A1020V","S.C1250F","ORF1a.P1786L","ORF1b.A2585S","ORF1a.T1001I","ORF7a.P99L","N.T393I","ORF1a.D2833N","ORF6.H3R","ORF1a.D147N","ORF1b.V921I","ORF1a.V337F","ORF1b.K2557R","S.V308L","ORF1a.R1404C","ORF1b.E1977D","M.K162T","ORF1b.M1693I","ORF1a.D466Y","ORF1a.P1158L","ORF1a.N3316D","ORF8.A65V","ORF1a.T4065I","S.G1246S","ORF1a.T654I","ORF3a.T89I","S.G181V","N.A398S","ORF1a.G519S","ORF1a.P1640L","S.T572I","ORF1a.M1769V","S.G1251R","ORF1a.P4197L","ORF1a.R3542C","ORF1b.G219D","S.P272L","ORF1a.M3661L","S.L5F","ORF1a.T170I","ORF1a.P153L","S.T76S","ORF1a.H417Y","ORF1a.T2952I","ORF1a.S3244L","S.T286I","N.N213Y","N.T366I","ORF1a.S2293G","ORF1a.I2790T","ORF1a.T3117A","ORF1a.A3143V","ORF1a.R3163S","ORF1b.G662S","ORF1b.P1000L","ORF3a.L52F","ORF9b.T83I","S.L18R","S.R158S","S.N440K","S.E484K","S.N764K","ORF1a.D2032N","ORF3a.T175I","S.T95I","N.G120R","ORF1a.D828Y","ORF8.I39T","ORF8.V62L","ORF9b.R32L","S.T859N","N.P13L","ORF9b.P10S","N.S180I","ORF1a.V84I","ORF1b.M1197I","ORF1a.M3345I","ORF1a.I4308T","ORF3a.V55G","ORF3a.D210N","S.P1112L","ORF1b.P2531L","ORF6.T21I","ORF1a.Y925H","ORF8.D35Y","M.L34F","ORF1a.L3606F","ORF1a.S2114F","N.T379I","ORF1b.S1003G","ORF1a.A4068V","ORF8.I9T","ORF1a.S443F","ORF1a.M1378I","ORF1a.T677I","ORF1b.L1351F","N.L221F","ORF1a.T3398I","ORF1a.I4098V","N.T417I","ORF1a.G392C","ORF1a.K4021R","ORF1b.I1355M","S.D1146H","ORF1a.M1586I","ORF3a.L86F","N.P383S","ORF1a.A540V","ORF8.T87I","ORF7b.H42Y","ORF7a.R78C","ORF1a.R207C","ORF1a.G1456S","S.S98F","N.P67R","ORF1a.P309S","ORF1b.L460I","ORF9b.L64V","ORF3a.K21N","ORF1a.T3255A"
"B.1.404","Ethiopia","2021-01-23",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.404","Mexico","2021-02-23",1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.404","Mexico","2021-02-16",1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.404","Mexico","2021-02-18",1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.404","Mexico","2020-05-19",1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.404","Mexico","2020-12-09",1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.404","Mexico","2020-12-23",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.404","Germany","2021-02-20",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.404","USA","2021-02-22",1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.404","USA","2020-10-29",1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
