"lineage","country","date","N.R203K","N.G204R","N.M234I","ORF1a.Y3722C","ORF1b.P314L","ORF1b.P1567L","ORF1b.A2143S","ORF1b.R2684I","S.D614G","S.Q675H","N.A90T","ORF1a.T1597I","ORF1a.T2124I","ORF3a.L94P","ORF8.E64V","ORF1a.L2039F","S.Q677H","ORF1a.L580F","ORF1a.L3606F","S.G339S","ORF1a.G1591R","ORF1b.A941S","ORF1a.L3313F","ORF1b.Q1867L","ORF1a.Q2702H","ORF1b.R2613H","ORF1a.H110R","ORF1a.V3847I","ORF1a.A4162V","ORF1b.T1050I","ORF1b.V2365F","ORF1a.S2981F","S.I720V","N.G34E","ORF1a.Q3890R","ORF1b.M101V","ORF1b.S1182L","ORF1b.G1775S","ORF3a.L96F","ORF9b.G31R","ORF1b.D1869Y","ORF1a.T3082I","ORF1b.K360N","ORF1a.T2153I","ORF8.G66C","ORF1a.D1323G","ORF1a.S212L","ORF1a.A2584V","S.C1247F","N.A211S","N.S250T","ORF1a.P153S","ORF1a.S944L","ORF9b.P51L","S.L54F","N.G120V","ORF3a.Q185H","N.P279S","ORF1b.H2388Y","ORF8.G8R","ORF1b.N291D","E.V62F","ORF1a.N460D","ORF1b.S1695G","ORF7a.T39I","ORF1a.K1655R","ORF1a.K1842N","ORF1a.R724K","S.R78S","ORF1a.L3644F","ORF3a.T175I","ORF3a.V29F","S.V227I","ORF1a.S3244L","ORF1b.A2132V","ORF3a.N257D","N.D144Y","ORF1a.T2846I","ORF3a.L95F","ORF1a.A3705V","ORF1a.T1854I","S.V213L","ORF1a.T2087I","ORF3a.V202L","ORF3a.P240L","S.L5F","S.S256L","N.R385I","ORF9b.A57V","M.C33F","ORF8.S69L","ORF1a.M3733T","S.G932S","ORF1a.L3201P","S.P681L","ORF1b.A1831P","ORF1a.A486V","ORF1a.T3308I","ORF1b.V783I","ORF3a.L73F","ORF3a.L108V","ORF1a.A1156S","ORF1a.S3309P","S.Q314K","ORF1a.T727I","ORF1a.K4348R","N.D399H","ORF1a.T4161N","S.E309Q","ORF1a.P193L","ORF1a.E2089D","ORF1a.T3598I","S.D1153G"
"B.1.1.214","Japan","2021-01-27",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.214","Japan","2021-01-28",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.214","Hong Kong","2021",1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.214","Japan","2020-09-12",1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.214","Japan","2020-09-29",1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.214","Japan","2020-09-30",1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.214","Japan","2021-02-05",1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.214","Japan","2021-02-09",1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.214","Japan","2020-10-29",1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.214","Japan","2020-10-29",1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
