"lineage","country","date","N.R203K","N.G204R","ORF1a.G519S","ORF1a.G963S","ORF1b.P314L","S.D198G","S.D614G","ORF1a.T4207I","S.K558N","ORF1b.P1567L","ORF1b.E2544D","ORF1a.C800F","ORF1a.V1211F","M.K162N","ORF8.S67F","S.A67S","ORF1a.T1001I","ORF1a.A2033T","ORF1b.D1882E","ORF1a.V2427F","ORF7a.L5F","S.T95I","ORF7a.R78C","ORF1a.Y3723C","ORF1a.L3495I","ORF3a.Y107H","ORF8.A51S","N.V72I","ORF1b.A1895V","N.G200D","ORF1b.L2560F","ORF1b.L1933F","ORF1b.I2664T","S.L5F","S.G769V","ORF1a.K3577R","ORF1a.V2779L","ORF1a.L3116F","ORF1a.A3454V","ORF3a.A110S","ORF7b.L32F","ORF1a.L624F","ORF1a.G993C","ORF1a.A1283V","ORF1a.S2797F","ORF1a.L204H","ORF1b.H1619Y","ORF1a.T4304I","S.A222V","ORF1b.A1547S","ORF6.V5F","M.H125Y","ORF1a.L2572I","ORF1b.P1953T","ORF3a.I118T","N.Q389H","ORF7a.P34S","ORF1a.R579I","ORF1a.I2903M","S.K1245R","ORF1b.A2306V","N.S327L","ORF6.I60V","ORF3a.A54V","N.P326S","ORF1a.E2070K","ORF1b.R1622G","ORF1b.H1550Y","N.A359T","ORF1a.T403I","ORF1a.T2859I","ORF1b.A738V"
"B.1.1.196","United Kingdom","2020-09-24",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.196","United Kingdom","2020-09-24",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.196","United Kingdom","2020-11-08",1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.196","United Kingdom","2020-11-08",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.196","United Kingdom","2020-11-08",1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.196","United Kingdom","2020-11-08",1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.196","United Kingdom","2020-11-14",1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.196","United Kingdom","2020-12-09",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.196","United Kingdom","2020-09-24",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.196","United Kingdom","2020-09-23",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
