"lineage","country","date","N.R203K","N.G204R","ORF1a.G445V","ORF1a.K3353R","ORF1b.P314L","ORF3a.G174C","S.D614G","ORF1a.A1352V","ORF3a.S74F","ORF3a.G224C","S.D1118Y","ORF1a.M1732I","ORF1a.G295C","ORF7a.T11I","ORF1a.K290N","ORF1a.Y2968H","ORF1a.M3221I","ORF1a.P4220L","ORF1b.I958V","ORF3a.V202L","S.K77R","ORF1a.Q314K","ORF1a.D2980G","ORF1b.Y710C","ORF1a.S2132G","ORF8.V62L","ORF1a.D953Y","S.V70F","S.L189F","ORF1a.E2993K","ORF3a.T151I","ORF8.F6L","S.S459F","N.G238C","ORF1a.D1554Y","ORF1a.L3667F","ORF1b.T730I","ORF3a.A110V","ORF8.Q27.","ORF8.I47T","ORF1b.L1681F","ORF1a.E347D","ORF1a.W3600L","ORF1b.A302S","ORF1b.K469N","ORF1b.P1161S","ORF1b.T2537I","S.A1020S","ORF1a.G728C","ORF1b.K2557R","ORF1a.S391F","ORF1a.S1029G","ORF1a.T2007I","ORF1a.L2062F","ORF1a.G2258C","ORF1a.S2625F","ORF1b.T132I","ORF1b.G2510C","ORF1b.R2613N","ORF3a.A99S","S.D253N","S.D936Y","M.L17F","ORF1a.K701N","ORF1b.Q813H","N.Q386L","ORF1b.D1848Y","ORF1b.V2073L","S.T618S","ORF1a.P959S","S.Q23R","ORF1a.R848S","ORF1a.H2092Y","ORF1b.I1299T","ORF3a.V55F","ORF3a.I263T","ORF8.I121L","ORF1a.D1532G","ORF1a.P1862L","ORF1b.D1183Y","S.L5F","ORF1a.D139N","ORF8.T26I","ORF1a.L122F","ORF1a.Q676H","ORF1a.T708I","ORF1b.A1744V","S.P631S","ORF1b.R2652K","ORF3a.W69C","S.A942V","S.G946R","ORF1b.E1728D","ORF1b.M2322I","ORF3a.W45L","ORF7a.Y97H","ORF8.F120L","S.P812L","ORF1a.T1597I","N.G200S","ORF1a.P3359L","ORF1b.M1197I","ORF1b.V1852F","ORF9b.R32H","ORF1b.P1570L","ORF1a.I2010M","ORF1a.H417Y","ORF1a.L3606F","N.T334I","ORF1b.A88V","ORF3a.A99F","S.T22I","S.A222V","ORF1b.D884Y","ORF1a.P309L","ORF1a.P748L","ORF1a.A3497V","N.G204L","S.A647V","ORF1b.A520V","ORF1b.I1569T","ORF1b.Q2635E","ORF6.M58I","ORF1a.V1199F","S.Q14H","ORF1a.T1242I","ORF1b.S638I","ORF8.L84S","ORF9b.P3L","S.A1070S","ORF8.L118V","ORF1a.A690V","ORF1b.A176V","ORF1b.A647S","ORF1a.T614A","ORF1a.Q768L","ORF1a.L1434I","ORF1a.K1657Q","ORF1a.K2497N","ORF1b.S763Y","ORF1b.V1905L","ORF1b.F2380L","ORF1a.K623Q","ORF1a.A2199V","ORF1a.L3338I","ORF3a.D155Y","ORF1a.L3930F","ORF1b.T1137I","ORF1b.M1839I","ORF1a.K3832N","S.V1122L","ORF1a.S3675F","ORF1b.R1802K","ORF1a.N3537S","N.Q384H","ORF1a.D930N","ORF1b.A2431V","ORF9b.R32L","S.G769V","N.P13T","N.P20H","N.D144G","ORF1a.T999I","ORF9b.H9Q","ORF9b.P17T","ORF8.A55V","E.V62F","ORF1a.E311K","ORF1b.P218L","ORF1a.I2873M","ORF1a.A3497S","ORF1a.A3697V","ORF3a.Q57H","S.V1122M","ORF1a.E913G","ORF1a.T4175I","ORF1b.E1264D","ORF1b.A1547S","ORF3a.T34M","ORF1a.T265I","ORF1a.Q556L","ORF1a.L730F","ORF1a.E1192K","ORF1a.I1276T","ORF1a.V1295I","ORF1a.V3653F","ORF1b.K999R","ORF1b.K1447R","ORF1b.P2204Q","S.S94F","S.G257S","ORF1b.D2020Y","ORF1a.L3352F","ORF1a.P271S","ORF1a.P3952L","N.D340N","ORF1a.F406L","ORF1a.T1958A","ORF1a.Y3364C","ORF1b.D409N","S.V1228L","M.M109I","ORF1a.K2200N","ORF1a.L27F","ORF1a.F3422L","ORF1b.N2055H","S.S254F","N.A251S","ORF1a.P3952S","ORF1a.F4342L","S.S813G","S.A701V","ORF1a.V3524I","ORF1b.A2585S"
"B.1.1.432","Mexico","2021-02-10",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.432","Mexico","2021-02-08",1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.432","Mexico","2020-09-17",1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.432","Mexico","2020-10-02",1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.432","Mexico","2020-11-20",1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.432","Mexico","2020-06-03",1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.432","Mexico","2021-02-11",1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.432","Mexico","2021-02-09",1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.432","Mexico","2021-02-09",0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.432","Mexico","2021-01-30",1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
