"lineage","country","date","M.T175M","N.T24N","N.R203K","N.G204R","ORF1b.P314L","ORF9b.L21M","S.D614G","ORF1a.T2124I","ORF1b.T1274I","ORF1b.P1161L","ORF1b.P1975L","N.Q418."
"B.1.1.323","United Kingdom","2020-03-26",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","United Kingdom","2020-03-11",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","United Kingdom","2020-06-16",1,1,1,1,1,1,1,1,1,0,0,0
"B.1.1.323","Iceland","2020-03-01",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","Iceland","2020-03-02",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","Iceland","2020-03-16",1,1,1,1,1,1,1,0,0,1,1,0
"B.1.1.323","Iceland","2020-03-02",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","Iceland","2020-03-18",1,1,1,1,1,1,1,0,0,1,1,0
"B.1.1.323","Iceland","2020-03-03",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","Iceland","2020-03",1,1,1,1,1,1,1,0,0,0,0,1
"B.1.1.323","Iceland","2020-03-05",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","Iceland","2020-03-06",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","Iceland","2020-03-09",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","Iceland","2020-03-09",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","Netherlands","2020-03-10",1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.323","Netherlands","2020-03-09",0,1,1,1,0,1,0,0,0,0,0,0
"B.1.1.323","Netherlands","2020-03-03",1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.323","Netherlands","2020-03-09",1,1,1,1,0,1,1,0,0,0,0,0
"B.1.1.323","Netherlands","2020-03-02",1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.323","United Kingdom","2020-03-26",1,1,1,1,1,1,1,0,0,0,0,0
