"lineage","country","date","N.R203K","N.G204R","N.G236S","ORF1a.S944L","ORF1a.D981Y","ORF1a.S2500T","ORF1a.T3202M","ORF1a.A3209S","ORF1a.L3606F","ORF1b.P314L","ORF1b.A1291V","ORF1b.V1984L","ORF3a.H78Y","ORF3a.S171L","S.E484K","S.D614G","ORF1a.T1543I","ORF1b.L2523F"
"B.1.1.53","South Africa","2020-10-30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"B.1.1.53","South Africa","2020-10-28",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"B.1.1.53","South Africa","2020-10-30",1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0
"B.1.1.53","South Africa","2020-09-16",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"B.1.1.53","South Africa","2020-09-18",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
"B.1.1.53","South Africa","2020-09-21",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"B.1.1.53","South Africa","2020-09-25",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"B.1.1.53","South Africa","2020-09-28",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"B.1.1.53","South Africa","2020-10-09",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"B.1.1.53","South Africa","2020-06-21",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"B.1.1.53","South Africa","2021-01-06",1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
