"lineage","country","date","N.S194L","ORF1a.V561A","ORF1a.E2088G","ORF1a.V2943I","ORF1a.A3523V","ORF1a.T4083M","ORF1b.P314L","ORF3a.Q57H","S.L216F","S.D614G","ORF1a.N267S","ORF1b.V464F","ORF1a.F1214S","ORF1a.H2698Y","M.D209Y","ORF1b.G2180D","ORF8.V62L","ORF1b.E1560A","ORF1b.E2544D","S.M731I","S.H49Y","ORF1a.T2967I","ORF1b.K2557R","ORF1a.T3750I","ORF1b.T2548I","S.E702Q","ORF1b.Y2393H","ORF3a.A110S","S.L938F","ORF1b.L1701F","ORF3a.V13L","ORF1a.S4398L","ORF1a.I1274T","S.K1073N","ORF1b.T1404M","ORF1a.A2994V","M.C64F","ORF1a.L2211I","ORF1a.T350A","S.V615F","N.R203S","ORF1a.L3606F","S.S1147L","ORF1b.G2662V","ORF1b.I1829T","ORF1a.T882I","ORF1a.A3124T","ORF1b.T2453I","ORF1a.E471G","ORF1b.D815Y","ORF1b.A7V","ORF1a.H3076Y","S.S256L","N.D402Y","ORF1b.A1428V"
"B.1.36.28","United Kingdom","2020-10-09",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.28","United Kingdom","2020-11-08",1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.28","United Kingdom","2020-11-10",1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.28","United Kingdom","2020-11-08",1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.28","United Kingdom","2020-11-08",1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.28","United Kingdom","2020-11-08",1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.28","United Kingdom","2020-11-20",1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.28","United Kingdom","2020-11-20",1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.28","United Kingdom","2020-11-20",1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.28","United Kingdom","2020-12-03",1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
