"lineage","country","date","M.D3G","N.T362I","ORF1a.A486V","ORF1a.Q3777H","ORF1b.P314L","S.R346K","E.A36V","ORF1b.T2163I","S.D614G","ORF1b.E2119D","ORF3a.W128C","ORF1a.T4249I","ORF7b.C41F","ORF1a.A3220V","ORF9b.R32L","S.P812S","S.D796Y","S.T547I"
"B.1.96","Netherlands","2020-04-29",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-10",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-30",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-22",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-16",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-01",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-05-07",1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"B.1.96","Netherlands","2020-04-30",1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"B.1.96","Netherlands","2020-04-30",1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-28",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-27",1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"B.1.96","Netherlands","2020-04-28",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-27",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"B.1.96","Netherlands","2020-04-28",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-29",1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"B.1.96","Netherlands","2020-04-28",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-26",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"B.1.96","Netherlands","2020-04-16",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-14",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-18",1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-17",1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-16",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"B.1.96","Netherlands","2020-04-20",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
"B.1.96","Netherlands","2020-04-22",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
"B.1.96","Netherlands","2020-04-22",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-23",1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-25",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-25",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-24",1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
"B.1.96","Netherlands","2020-04-24",1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
"B.1.96","Netherlands","2020-04-23",1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-23",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-23",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.96","Netherlands","2020-04-28",1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"B.1.96","Netherlands","2020-05-11",1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
