"lineage","country","date","N.S194L","ORF1b.P314L","ORF1b.T335I","ORF3a.S171L","S.D614G","ORF1a.V3629I","ORF1a.V3718F","ORF1b.V1092I","ORF1a.E1687D","N.P13L","ORF1a.N162D","ORF1b.Q1878H","ORF9b.P10S","S.D178N","S.I1225V","ORF1b.T730I","ORF3a.T175I","ORF1a.T1678I","ORF3a.V112L","ORF1a.G392C","S.L18F","S.P251H","ORF1a.A498T","S.A688V","N.P142S","ORF1b.A1428V","S.T22I","ORF1a.M731I","S.S939F","ORF1a.T2087I","ORF1a.T3453I","ORF1a.L3606F","ORF1b.G2068E","ORF1a.D996Y","ORF1a.M3780I","ORF3a.L147F","ORF7a.D51G","N.T379I","ORF1a.P885L","ORF1a.I694S","ORF1b.A176V","ORF1b.K2557R","S.L5F","N.T205I","ORF8.Q72H","ORF1a.Q998H","ORF1a.V1629A","ORF1a.H2799Y","ORF1a.M3627I","S.K1073N","ORF1a.A1298V","ORF1a.E2050G","ORF1b.Q813H","S.R237S","ORF1a.G150C","ORF3a.T151I","ORF1a.L2146F","ORF1b.A1326S","ORF6.K42N","ORF1b.P1821S","ORF1a.L802F","ORF1a.S3989F","M.L87I","N.D377Y","ORF1a.G445C","ORF1a.V1143F","ORF1a.E1826G","ORF1a.A4016V","ORF1b.K2367N","ORF3a.G224C","S.D138Y","ORF1a.M1083I","ORF1b.K1828N","ORF1a.S2553F","S.G769V","S.S256L","ORF1a.I3145T","N.G238C","ORF1a.P2739L","ORF3a.Y154H","ORF1a.L3483F","ORF1b.V2117L","ORF1a.V1291F","ORF1a.A2249V","ORF1b.Q2295H","ORF3a.I232V","ORF7a.I10T","ORF1a.Y1675H","ORF1a.A3497V","ORF1b.R1315C","ORF1a.D3222N","ORF3a.Q57H","ORF1a.E1766G","ORF1b.L261M","S.A1026T","E.D72G","ORF1a.Q1799R","ORF1b.M1581I","N.P168S","ORF1a.H110Y","S.P26S","ORF1b.V1706L","ORF3a.L101F","S.S477I","N.R203K","ORF1a.D1913G","ORF1a.T2093I","ORF1a.F3085S","ORF1a.T3579I","ORF1a.A1092T","ORF1b.V1644L","ORF3a.S177I","S.V1264F","E.V62F","ORF1b.M1156I","ORF8.E106.","ORF1a.T265I","ORF1a.Q3826R","ORF1b.G2220R","S.I233V","N.R32C","ORF1b.V248F","ORF1b.T1637I","S.K1181E","ORF1a.P4197T","S.T547K","N.P207R","ORF3a.K192Q","ORF8.E110.","ORF9b.P10L","ORF1a.A1151V","ORF1a.V4025I","ORF1a.L2122F","ORF1a.A2745V","ORF1b.L627F","ORF1b.P1000L","ORF1a.S216F","ORF1a.T2977I","ORF3a.F43S","ORF1a.S2048F","ORF8.T11I","ORF1a.E750K"
"B.1.239","Lebanon","2021-01-12",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.239","Mexico","2020-12-03",1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.239","Mexico","2021-02-12",1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.239","Mexico","2021-02-11",1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.239","Mexico","2021-02-15",1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.239","Mexico","2021-02-16",1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.239","Mexico","2020-04-17",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.239","Mexico","2020-04-24",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.239","Mexico","2020-05-18",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.239","Mexico","2020-04-09",1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
