"rules","support","confidence","coverage","lift","count"
"{} => {N.G204R}",0.909416759833209,0.909416759833209,1,1,430306
"{ORF1a.V1291F} => {ORF1a.L730F}",0.00617752294644386,0.509499738539306,0.0121246832513679,5.78764255018553,2923
"{ORF1a.V1291F} => {N.G204R}",0.0121035490640725,0.998256928708384,0.0121246832513679,1.09768917046511,5727
"{ORF1b.E1871G} => {ORF1b.K1383R}",0.01156462728804,0.99781181619256,0.0115899883127944,4.50356869015486,5472
"{ORF1b.E1871G} => {N.G204R}",0.0115730809629581,0.99854121079504,0.0115899883127944,1.09800176871402,5476
"{ORF1a.L3606F} => {N.G204R}",0.00927790822267825,0.894093686354379,0.0103768859620388,0.983150658580736,4390
"{ORF3a.G100C} => {N.G204R}",0.014996819304812,0.990231649455763,0.0151447586158798,1.08886452635574,7096
"{ORF1b.A1432V} => {ORF1a.M2259I}",0.00966466385018397,0.901261332282223,0.0107234866336832,12.0683473175227,4573
"{ORF1b.A1432V} => {ORF1b.P218L}",0.0100387389653125,0.936145053212456,0.0107234866336832,5.65503129611482,4750
"{ORF1b.A1432V} => {N.G204R}",0.0103515249372843,0.965313362238865,0.0107234866336832,1.06146423166416,4898
"{S.D138H} => {S.S98F}",0.00761042084507161,0.625065092865822,0.0121754053008769,30.0936278791252,3601
"{S.D138H} => {ORF1a.L730F}",0.0117167934365668,0.962332928311057,0.0121754053008769,10.9315836339885,5544
"{S.D138H} => {N.G204R}",0.0121267966700975,0.996007637562923,0.0121754053008769,1.0952158367365,5738
"{ORF3a.T151I} => {S.L5F}",0.0106474035594198,0.645483664317745,0.0164952331840555,24.1134982626113,5038
"{ORF3a.T151I} => {N.G204R}",0.0163642012228241,0.992056374119154,0.0164952331840555,1.09087100429192,7743
"{ORF1a.T4087I} => {ORF1b.P218L}",0.0138344390035653,0.890127821593691,0.0155420813370332,5.37705206194413,6546
"{ORF1a.T4087I} => {N.G204R}",0.0151828001530115,0.976883328800653,0.0155420813370332,1.0741866347172,7184
"{ORF8.L118V} => {ORF1a.N460Y}",0.0116977726680009,0.953981385729059,0.012262055468788,50.3056402921277,5535
"{ORF1a.N460Y} => {ORF8.L118V}",0.0116977726680009,0.616850551654965,0.0189637062601576,50.3056402921277,5535
"{ORF8.L118V} => {ORF8.F120L}",0.0119006608660367,0.97052740434333,0.012262055468788,47.4745725556622,5631
"{ORF8.F120L} => {ORF8.L118V}",0.0119006608660367,0.582135842034529,0.0204430993708352,47.4745725556622,5631
"{ORF8.L118V} => {N.G204R}",0.0122282407691153,0.997242330230955,0.012262055468788,1.09657351203188,5786
"{ORF1b.P1001S} => {ORF1b.K1383R}",0.0153582139075633,0.979644108924238,0.0156773401357237,4.42156974376263,7267
"{ORF1b.P1001S} => {N.G204R}",0.015639298598592,0.997573469937989,0.0156773401357237,1.09693763519483,7400
"{ORF1a.A2345V} => {N.G204R}",0.0222014637538121,0.986940999624201,0.0224952289572181,1.08524610851158,10505
"{ORF1b.D2270Y} => {ORF1a.A599V}",0.0103303907499889,0.977795559111822,0.0105649802289678,85.1418092230886,4888
"{ORF1a.A599V} => {ORF1b.D2270Y}",0.0103303907499889,0.899521531100478,0.0114843173763175,85.1418092230886,4888
"{ORF1b.D2270Y} => {ORF1a.Q3966R}",0.010362092030932,0.980796159231846,0.0105649802289678,12.2879862386543,4903
"{ORF1b.D2270Y} => {ORF1b.K1383R}",0.0104064738242523,0.98499699939988,0.0105649802289678,4.44572972017974,4924
"{ORF1b.D2270Y} => {N.G204R}",0.0105100313419998,0.994798959791958,0.0105649802289678,1.09388676757443,4973
"{ORF1a.A599V} => {ORF1a.Q3966R}",0.010389566474416,0.904674273095326,0.0114843173763175,11.3342868583074,4916
"{ORF1a.A599V} => {ORF1b.K1383R}",0.0105480728791315,0.918476260581524,0.0114843173763175,4.14549202833575,4991
"{ORF1a.A599V} => {N.G204R}",0.011404007464595,0.993006993006993,0.0114843173763175,1.09191631039339,5396
"{ORF1a.K3353R} => {N.G204R}",0.0152187282714137,0.925102774922919,0.0164508513907352,1.01724843414211,7201
"{S.S98F} => {N.G204R}",0.0156181644112966,0.751933251933252,0.0207706792739139,0.826830211564563,7390
"{ORF1a.V3748I} => {N.G204R}",0.0310545748118529,0.998912304554725,0.0310883895115255,1.09840982558748,14694
"{ORF3a.W131C} => {N.G204R}",0.0303951881682366,0.995294117647059,0.0305389006418453,1.09443124605445,14382
"{ORF1a.P971L} => {N.G204R}",0.0315744758193196,0.992229527794381,0.0318217458106757,1.0910614050882,14940
"{ORF1a.N460Y} => {ORF8.F120L}",0.0182747317543278,0.963668784130168,0.0189637062601576,47.1390744940059,8647
"{ORF8.F120L} => {ORF1a.N460Y}",0.0182747317543278,0.893931562080017,0.0204430993708352,47.1390744940059,8647
"{ORF1a.N460Y} => {N.G204R}",0.0189467989103213,0.999108436420372,0.0189637062601576,1.09862549333664,8965
"{ORF1a.E913D} => {ORF3a.P240S}",0.00981260316125174,0.652565003513703,0.0150369742606733,44.0222733130266,4643
"{ORF3a.P240S} => {ORF1a.E913D}",0.00981260316125174,0.661961790704306,0.0148235189689898,44.0222733130266,4643
"{ORF1a.E913D} => {ORF1a.M2259I}",0.014432536504025,0.959803232607168,0.0150369742606733,12.8522531175865,6829
