"lineage","country","date","ORF1a.A3615V","ORF1b.P314L","ORF1b.T1774I","ORF3a.Q57H","S.D614G","N.D128Y","N.D377Y","ORF1a.P1977L","ORF1b.A1428V","ORF1b.Q1441H","ORF1b.S1898A","ORF3a.S58N","ORF1a.A2994V","ORF1a.L3606F","ORF1b.A370S","S.G1124V","ORF1b.V290F","S.C1248Y","ORF1a.A1473T","ORF3a.H78Y","ORF7a.E121.","ORF1b.K258N","ORF8.V32L","ORF1a.S4398L","S.D215G","N.T366I","S.F220L","ORF1a.S318L","ORF1b.T861I","ORF7a.E16A","ORF8.I10F","ORF1a.R398C","ORF1b.A1432V","S.P26S","ORF3a.V237F","S.D80Y","ORF1b.D2087Y","ORF1a.S2822Y"
"B.1.22","Australia","2020-04-09",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.22","Australia","2020-04-10",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.22","Australia","2020-03-31",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.22","Australia","2020-04-01",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.22","Australia","2020-03-31",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.22","Australia","2020-03-31",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.22","Australia","2020-04-04",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.22","Australia","2020-04-04",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.22","United Kingdom","2020-04-02",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.22","United Kingdom","2020-08-22",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.22","United Kingdom","2020-08-23",1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
