"lineage","country","date","N.R203K","N.G204R","ORF1a.H388Y","ORF1a.P1977L","ORF1a.L3606F","ORF1b.P314L","ORF8.S69P","S.D614G","ORF1a.V1052I","ORF1a.A3070V","ORF1b.R109C","ORF1a.K1202N","ORF1b.T17I","M.V70I","ORF1a.E37D","ORF1a.L2084I","ORF1a.G3334S","ORF1b.M1596I","ORF1b.M1693I","ORF1b.T1730I","ORF1b.G1789S","ORF1b.S1881I","ORF1b.A1895V","ORF8.S67F","M.A69S","ORF1a.P1220L","ORF1a.D3042N","ORF1b.K1873N","ORF3a.S60F","ORF3a.G172C","ORF8.V62L","ORF1a.V2047F","ORF1a.P4337S","ORF1b.M1499I","ORF3a.D173G","ORF7a.I88V","S.P681H"
"B.1.1.254","Australia","2020-05-27",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","Australia","2020-03-21",1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","United Kingdom","2020-06-18",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","United Kingdom","2020-06-17",1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","United Kingdom","2020-06-12",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","United Kingdom","2020-04-03",1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","France","2020-05-14",1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","France","2020-05-14",1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","Japan","2020-04-17",1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","Kenya","2020-10-15",1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","New Zealand","2020-03-23",1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","New Zealand","2021-01-27",1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.254","Germany","2020-06-03",1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.254","Germany","2021-02-25",1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"B.1.1.254","Germany","2021-03-18",1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
