"lineage","country","date","N.R203K","N.G204R","ORF1a.N375S","ORF1a.S2500F","ORF1b.P314L","ORF3a.S216P","ORF8.S67F","S.N501T","S.D614G","S.T732A","ORF1a.L1735F","ORF1a.T1637I","ORF1a.A3209V","ORF1b.V222I","ORF1b.D260Y","ORF8.Q27.","S.Q675H","ORF1a.L259F","ORF1a.V3689L","ORF1a.S2797F","N.S2F","ORF1a.D828N","ORF1b.R1315C","ORF1a.F941L","ORF1a.P959S","ORF1a.Q1737R","ORF1a.T3255I","ORF1a.I3618V","ORF1a.T4175I","S.T478K","ORF1a.T592I","ORF1a.K2029N","ORF1a.L3606F","ORF1b.G2180A","ORF1b.K2224R","S.L5F","ORF1a.E1192D","ORF1a.L3754F","ORF3a.G100C","ORF7a.A8V","ORF7b.I27T","ORF8.A65V","ORF1a.E93G","ORF1a.K120N","ORF1a.K798N","ORF1b.G1568S","ORF1a.A690V","ORF1b.P1664S","S.D936Y","ORF1a.A211T","ORF1a.D928Y","ORF1b.T17I","ORF3a.G172C","S.A688S","ORF1a.T4371I","ORF1b.E2221D","ORF1a.K3353R","ORF1b.Y1176H","ORF1a.S1978F","ORF1b.G2304E","ORF3a.L106F","N.S193I","ORF1a.T602A","ORF1a.L1507F","ORF1a.D2627G","ORF1a.T4207I","ORF7b.M24I","ORF9b.P17L","ORF6.M1I","N.R40L","ORF1a.S2132G","ORF1b.P2313S","ORF7a.T11I","ORF9b.V37F","N.F307I","ORF1b.K469N","S.L110F","N.M322V","ORF1a.V306F","ORF1a.F1553V","ORF1a.A3523V","ORF1a.E176D","ORF1a.S376L","ORF1a.T2152I","ORF1b.R2613S","ORF1a.A599V","ORF1a.D996Y","ORF1a.V1164I","ORF1a.A2855V","ORF1b.V2369A","ORF1b.S2688C","ORF1b.S2689R","ORF1b.D2690S","ORF6.K42N","S.D138H","S.D253G"
"B.1.1.322","Mexico","2020-12-08",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.322","Mexico","2020-06-10",1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.322","Mexico","2021-02-09",1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.322","Mexico","2021-02-07",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.322","Mexico","2020-04-13",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.322","USA","2021-02-20",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.322","USA","2021-03-24",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.322","USA","2021-03-27",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.322","USA","2021-01-28",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.322","USA","2020-11-17",1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
