"lineage","country","date","N.R203K","N.G204R","ORF1a.L2122F","ORF1a.L3180M","ORF1a.A3523V","ORF1b.P314L","ORF3a.T151I","ORF7b.F19S","S.D614G","S.Q183E","N.S33I","ORF9b.V30L","ORF1a.S2114F","S.F157S","S.G1219C"
"B.1.1.86","United Kingdom","2020-05-22",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-25",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-02",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-13",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-14",1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-14",1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
"B.1.1.86","United Kingdom","2020-06-14",1,1,0,1,1,1,1,1,1,0,1,1,1,0,0
"B.1.1.86","United Kingdom","2020-06-09",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-08",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-12",1,1,0,1,1,1,1,1,1,0,0,0,0,1,0
"B.1.1.86","United Kingdom","2020-06-12",1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-08",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-08",1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-13",1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-15",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.86","United Kingdom","2020-06-17",1,1,0,1,1,1,1,1,1,0,0,0,0,0,1
