"lineage","country","date","M.V70I","N.R203K","N.G204R","ORF1b.P314L","S.D614G","ORF3a.K75N","S.A67V","ORF1a.G295C","ORF1b.T2391I","M.G6V","S.A522S","S.T859I"
"B.1.1.48","Japan","2020-04-16",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-16",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-19",1,1,1,1,1,1,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-12",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-12",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-12",1,1,1,1,1,0,1,0,0,0,0,0
"B.1.1.48","Japan","2020-04-13",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-13",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-13",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-13",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-13",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-13",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-14",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-14",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-14",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-14",1,1,1,1,1,0,0,1,0,0,0,0
"B.1.1.48","Japan","2020-04-14",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-14",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-17",1,1,1,1,1,0,0,0,1,0,0,0
"B.1.1.48","Japan","2020-04-17",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-18",1,1,1,1,1,0,0,0,1,0,0,0
"B.1.1.48","Japan","2020-04-20",1,1,1,1,1,0,0,0,0,0,0,0
"B.1.1.48","Japan","2020-04-22",1,1,1,1,1,0,0,0,0,1,0,0
"B.1.1.48","Japan","2020-07-15",1,1,1,1,1,0,0,0,0,0,1,1
