"lineage","country","date","N.R203K","N.G204R","ORF1a.A537S","ORF1b.P314L","ORF1b.A2143T","ORF8.S67F","S.R21I","S.D614G","ORF1a.L3606F"
"B.1.1.149","United Kingdom","2020-06-10",1,1,1,1,1,1,1,1,0
"B.1.1.149","United Kingdom","2020-06-02",1,1,1,1,0,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-15",1,1,1,1,0,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-19",1,1,1,1,1,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-20",1,1,1,1,0,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-16",1,1,1,1,0,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-17",1,1,1,1,1,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-15",1,1,1,1,0,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-10",1,1,1,1,0,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-08",1,1,1,1,1,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-13",1,1,1,1,1,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-12",1,1,1,1,1,1,1,1,1
"B.1.1.149","United Kingdom","2020-06-09",1,1,1,1,1,1,1,1,1
"B.1.1.149","United Kingdom","2020-11-25",1,1,1,1,0,1,1,1,1
"B.1.1.149","United Kingdom","2020-11-25",1,1,1,1,0,1,1,1,1
