"lineage","country","date","M.V23L","N.S194L","ORF1a.E2050G","ORF1a.M2259I","ORF1b.P314L","S.D614G","S.A845S","ORF1a.T265I","ORF1b.S2363F","ORF3a.Q57H","S.E180V","N.P168S","ORF6.P57L","ORF1b.A1432V","ORF7a.S81L","N.P46S","S.V622F","S.V1104L","ORF1a.T2648I","N.T141I","N.S193N"
"B.1.287","USA","2020-12-15",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-12-15",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-12-15",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-15",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-15",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-15",0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-15",0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-15",0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"B.1.287","USA","2020-06-18",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"B.1.287","USA","2020-07-20",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"B.1.287","USA","2020-07-20",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
"B.1.287","USA","2020-07-20",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
"B.1.287","USA","2020-07-20",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1
"B.1.287","USA","2020-07-20",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0
"B.1.287","USA","2020-07-20",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"B.1.287","USA","2020-07-20",0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"B.1.287","USA","2020-06-02",0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
