"lineage","country","date","M.I82T","N.P13L","N.S201I","N.T205I","ORF1a.A2123V","ORF1a.E2607K","ORF1a.M3752I","ORF1a.L3754F","ORF1b.P314L","ORF7a.E22D","ORF9b.P10S","ORF9b.S53L","S.I210T","S.N440K","S.E484K","S.D614G","S.D936N","S.S939F","S.T1027I","ORF1a.L1162V","ORF3a.L108F","S.S151I","ORF1a.S2273F","ORF1a.A2584V","ORF1a.E1633G","ORF1a.S2488F","ORF1b.T1404M","N.A414S","ORF1b.T582I","N.A398V","ORF1a.A4394T","ORF1a.P943L","ORF3a.I124V","ORF7a.R80K","N.D144N","ORF7a.P34S","ORF1a.R207C","ORF1a.E1549Q","ORF1a.V4102I","ORF7b.S31L","ORF7a.E41K","S.I128V","ORF8.Q27.","ORF8.R52I","ORF1a.V3091I","ORF3a.Y206C","S.L5F","S.L18F","ORF1b.K1194T","ORF9b.A68V","ORF3a.D27A","ORF1a.H2092Y","N.S413I","ORF1b.D260G","ORF1a.A2249V","ORF3a.L83F","S.V6F","ORF1a.T1854I","ORF3a.T24I","S.S221L","N.T141I","ORF1b.D708N","N.P151S","N.R32H","ORF9b.A29T","ORF1a.K4014R","ORF1a.V1291F","ORF1b.S997P","ORF1a.L530M","ORF1a.A1679V","S.T95I","ORF1a.K2000R","M.V10A","ORF1a.D194E","ORF1a.T1820I","ORF3a.D27H","ORF7a.F63H","ORF7a.V104F","ORF1a.K1973R","ORF1a.A2850T","ORF1a.R3802H","S.G744S","S.A879S","ORF1b.S2645N","S.D1165Y","S.P1263L","ORF1a.N4078S","N.G34W","ORF8.I47V","ORF1a.T2512I","M.Q19E","M.A63T","ORF1a.L2084I","ORF1a.P3395H","ORF1a.I3758V","ORF1b.I1566V","S.A67V","S.Y145D","S.T547K","S.H655Y","S.N856K","S.Q954H","S.N969K","S.L981F","E.T9I","ORF1a.A2710T","ORF1a.T3255I","S.D796Y"
"B.1.619","Denmark","2021-07-22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619","United Kingdom","2021-03-04",0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619","United Kingdom","2021-03-03",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619","United Kingdom","2021-03-03",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619","United Kingdom","2021-03-14",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619","United Kingdom","2021-03-30",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619","France","2021-03-12",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619","Germany","2021-02-11",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619","Germany","2021-02-18",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.619","Germany","2021-02-15",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
