"lineage","country","date","M.A83S","N.R195K","ORF1a.T265I","ORF1a.I1398V","ORF1b.K50N","ORF1b.P314L","ORF1b.A1285S","ORF1b.V1814F","ORF3a.Q57H","ORF3a.G172V","ORF3a.G224C","S.D614G","S.V705F","S.S1239G","N.R209I","ORF1a.A1670V","ORF1a.A3220V","ORF1b.M454I","ORF1b.M1677I","ORF8.A65S","ORF1a.Y1814C","ORF3a.H78Y","ORF8.V62L","ORF1b.N734D","ORF1b.V1144A","N.S194L","ORF1a.F548L","ORF1a.S653L","ORF1b.P2256S","ORF8.P38S","ORF1a.A2909V","ORF1b.K2557R","ORF8.A55V","S.I105L","ORF1b.T634I"
"B.1.606","Kenya","2020-11-06",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.606","USA","2020-10-02",1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.606","USA","2020-08-11",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.606","USA","2020-11-04",1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.606","USA","2020-06-15",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.606","USA","2020-06-26",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"B.1.606","USA","2020-06-26",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.606","USA","2020-08-20",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"B.1.606","USA","2020-08-20",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
"B.1.606","USA","2020-07",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
"B.1.606","USA","2020-07",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"B.1.606","USA","2020-07",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"B.1.606","USA","2020-07",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
"B.1.606","USA","2020-07",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"B.1.606","USA","2020-07",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
"B.1.606","USA","2020-07",1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
