"lineage","country","date","ORF1a.I1525V","ORF1a.I2709T","M.L129V","ORF1a.V1143F","ORF3a.T175I","ORF1a.S2488F","N.S188L","ORF1a.T4065I","ORF3a.G172V"
"B.13","USA","2020-04-03",1,0,0,0,0,0,0,0,0
"B.13","USA","2020-04-03",1,0,0,0,0,0,0,0,0
"B.13","USA","2020-04-06",1,1,0,0,0,0,0,0,0
"B.13","USA","2020-04-06",1,0,1,1,1,0,0,0,0
"B.13","USA","2020-04-06",1,0,1,1,1,0,0,0,0
"B.13","USA","2020-04-06",1,0,0,0,0,0,0,0,0
"B.13","USA","2020-04-08",1,0,0,0,0,0,0,0,0
"B.13","USA","2020-04-08",1,0,0,0,0,0,0,0,0
"B.13","USA","2020-04-08",1,1,0,0,0,0,0,0,0
"B.13","USA","2020-04-09",1,0,0,0,0,0,0,0,0
"B.13","USA","2020-04-13",1,0,0,0,0,1,0,0,0
"B.13","USA","2020-04-13",1,0,0,0,0,0,0,0,0
"B.13","USA","2020-04-13",1,0,1,1,0,0,1,0,0
"B.13","USA","2020-04-13",1,0,1,1,1,0,0,1,0
"B.13","USA","2020-04-14",1,1,0,0,0,0,0,0,0
"B.13","USA","2020-04-14",1,0,0,0,0,0,0,0,0
"B.13","USA","2020-04-15",1,0,1,1,1,0,0,0,0
"B.13","USA","2020-04-16",1,0,0,0,0,0,0,0,1
"B.13","USA","2020-04-17",1,0,1,1,1,0,0,0,0
