"lineage","country","date","N.R203K","N.G204R","ORF1a.T436I","ORF1a.E1013K","ORF1a.T1246I","ORF1a.A3143V","ORF1a.G3278S","ORF1a.L3606F","ORF1a.T4175I","ORF1b.P314L","ORF1b.R1687C","ORF1b.V2368F","ORF3a.P42L","ORF3a.V202L","S.I410V","S.L452R","S.D614G","ORF1a.V2776F","ORF3a.G172C","ORF3a.T223I","S.G769V","ORF1a.S443F","S.P272H","S.P812L","ORF1a.T592I","ORF8.G8R","ORF1a.R2841H","N.G238C","ORF3a.G254R","ORF1a.L446F","ORF1a.T1822I","ORF3a.G100C","ORF8.S97N","ORF1a.P4389S","E.A32T","ORF1b.G1450R","S.L552F","N.E378A","ORF1a.T568I","ORF3a.D27H","ORF1b.V1419L","ORF1a.P3362S","ORF1a.T4031I","ORF1a.A486V","ORF7a.L96F","S.D80Y","ORF1a.S1506L","ORF1a.K2511N","ORF1a.A3497T","S.G181R","ORF1a.D203N","S.A411S","ORF1a.L2364F","ORF1a.A3620V","ORF1a.A3963S","ORF1a.T2283I","ORF1a.P2480S","ORF1a.T3308I","ORF1a.R643S","ORF1b.H1213Y","ORF1b.A1369V","S.L18F","ORF1a.G227S","ORF1a.T1001I","ORF3a.A54T","ORF1a.K1817N","ORF1a.T2007I","ORF1a.R3662H","ORF3a.L71Q","ORF1a.P1977H","ORF8.T87I","S.N394T","N.A125V","ORF1a.K141N","ORF1b.M657I","ORF1b.L2523F","S.D138H","ORF1a.F343L","ORF9b.N36S","ORF1b.L948I","ORF1a.A537T","ORF1a.V875L","ORF1a.G112S","ORF1a.H374Y","ORF1a.I1002T","ORF1b.A2222V","ORF1a.V366F","ORF1a.A3856T","ORF1b.L2560F","ORF1a.T554N","ORF1a.G993D","S.S640F","S.K854N","ORF1a.P309L","N.A308S","ORF1a.S443T","ORF1a.T3090I","ORF1a.V3354I","S.K77R","S.D737Y"
"C.16","Bahrain","2021-02-08",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.16","Bahrain","2021-02-13",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.16","Spain","2021-02-07",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.16","United Kingdom","2020-11-02",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.16","United Kingdom","2020-11-22",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.16","United Kingdom","2020-12-11",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.16","United Kingdom","2021-01-16",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.16","United Kingdom","2021-01-18",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.16","United Kingdom","2021-01-18",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.16","United Kingdom","2021-01-30",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
