"lineage","country","date","ORF1a.T265I","ORF1a.I3512T","ORF1b.P314L","ORF1b.E427G","ORF1b.S2430R","ORF3a.Q57H","S.D614G","E.V75L","ORF1a.P309S","ORF1a.L3606F","ORF1a.L2329V","ORF1a.V2862L","ORF8.S24P"
"B.1.445","USA","2020-06-30",1,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.445","USA","2020-07-07",1,1,1,1,1,1,1,1,0,0,0,0,0
"B.1.445","USA","2020-08-06",1,1,1,1,1,1,1,0,1,0,0,0,0
"B.1.445","USA","2020-07-15",1,0,1,1,1,1,1,0,0,0,0,0,0
"B.1.445","USA","2020-06-30",0,1,1,1,0,1,1,0,0,0,0,0,0
"B.1.445","USA","2020-07-20",1,0,1,1,1,1,1,0,0,0,0,0,0
"B.1.445","USA","2020-07-06",1,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.445","USA","2020-07-10",1,1,1,1,1,1,1,0,0,1,0,0,0
"B.1.445","USA","2020-07-13",1,1,1,1,1,1,1,0,0,0,0,0,0
"B.1.445","USA","2020-04-20",1,0,1,1,1,1,1,0,0,0,0,0,0
"B.1.445","USA","2020-05-01",1,0,1,1,1,1,1,0,0,0,0,0,0
"B.1.445","USA","2020-04-30",1,0,1,1,1,1,1,0,0,0,0,0,0
"B.1.445","USA","2020-04-17",1,0,1,1,1,1,1,0,0,0,0,0,0
"B.1.445","USA","2020-06-29",1,1,1,1,1,1,1,0,0,0,1,1,1
