"lineage","country","date","N.D3L","N.R203K","N.G204P","N.S235F","N.T393I","ORF1a.T12I","ORF1a.T1001I","ORF1a.A1708D","ORF1a.I2230T","ORF1a.E2268D","ORF1b.P314L","ORF1b.S1089L","ORF3a.V202L","ORF8.Q27.","ORF8.R52I","ORF8.K68.","ORF8.Y73C","S.N501Y","S.A570D","S.D614G","S.P681H","S.T716I","S.S982A","S.D1118H","ORF1a.T2746I","ORF1b.D2067A","ORF7a.S81P","S.S151I","N.G204R","ORF1a.H2794Y","ORF7a.S83L","ORF7a.I100T","ORF1a.V1583F","ORF3a.L95F","M.S173K","S.A243S","N.G120V","ORF3a.W131C","ORF1a.E767K","ORF7b.S31L","N.T379I"
"Q.7","Denmark","2021-06-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.7","United Kingdom","2021-04-14",1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q.7","United Kingdom","2021-04-29",1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"Q.7","United Kingdom","2021-04-29",1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"Q.7","United Kingdom","2021-05-18",1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Q.7","United Kingdom","2021-05-20",1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Q.7","Germany","2021-04-13",1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Q.7","Germany","2021-05-19",1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"Q.7","Germany","2021-06-21",1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Q.7","Slovakia","2021-05-25",1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Q.7","Switzerland","2021-05-27",1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Q.7","Switzerland","2021-05-11",1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Q.7","Switzerland","2021-05-25",1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Q.7","Switzerland","2021-05-25",1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
