"region","country","division"
"South America","Argentina","Argentina"
"Asia","Armenia","Armenia"
"Oceania","Australia","Australia"
"Oceania","Australia","Northern Territory"
"Oceania","Australia","South Australia"
"Oceania","Australia","Tasmania"
"Asia","Timor-Leste","Timor-Leste"
"Oceania","Australia","Victoria"
"Europe","Austria","Upper Austria"
"Europe","Austria","Styria"
"Europe","Slovakia","Banska Bystrica"
"Europe","Austria","Upper Austria / Voecklabruck / Voecklamarkt"
"Asia","India","India"
"Europe","Belgium","Belgium"
"Africa","Benin","Benin"
"Asia","Bangladesh","Bangladesh"
"Asia","Bangladesh","Dhaka"
"Asia","Bangladesh","Chattogram"
"Asia","Bangladesh","Rangpur"
"Asia","Bangladesh","Barishal"
"Asia","Bangladesh","Khulna"
"Asia","Bangladesh","Sylhet"
"Asia","Bangladesh","Rajshahi"
"Asia","Bangladesh","Mymensingh"
"Asia","Bangladesh","Cumilla"
"Asia","Bahrain","Bahrain"
"Europe","Belarus","Belarus"
"South America","Brazil","Brazil"
"South America","Brazil","Amazonas BR"
"South America","Brazil","Mato Grosso"
"South America","Brazil","Paraná"
"South America","Brazil","Rio de Janeiro"
"Europe","Belgium","Limburg BE"
"North America","Belize","Belize"
"North America","Canada","Canada"
"North America","Canada","Saskatchewan"
"North America","Canada","Ontario"
"North America","Canada","Quebec"
"Europe","Switzerland","Bern"
"Europe","Switzerland","Switzerland"
"South America","Chile","Chile"
"South America","Chile","Region Metropolitana de Santiago"
"Asia","China","Beijing"
"Asia","China","Guangdong"
"Asia","Hong Kong","Hong Kong"
"Asia","China","Zhejiang"
"Asia","China","China"
"Asia","China","Jiangsu"
"Asia","China","Anhui"
"Asia","China","Sichuan"
"Asia","China","Hunan"
"Asia","China","Shanghai"
"Asia","China","Hubei"
"Asia","China","Yunnan"
"Africa","Cameroon","Cameroon"
"South America","Colombia","Antioquia"
"South America","Colombia","Colombia"
"Africa","Union of the Comoros","Union of the Comoros"
"North America","Cuba","Cuba"
"Europe","Czech Republic","Czech Republic"
"North America","USA","Texas"
"Europe","Italy","Italy"
"Asia","Thailand","Bangkok"
"Asia","Thailand","Thailand"
"Europe","Spain","Spain"
"North America","USA","Florida"
"North America","USA","USA"
"Europe","Germany","Hesse"
"Europe","Germany","Germany"
"Europe","Germany","Bavaria"
"Europe","Germany","North Rhine Westphalia"
"Africa","Djibouti","Djibouti"
"Africa","Djibouti","Camp Lemonnier"
"Europe","Denmark","Denmark"
"North America","Dominican Republic","Dominican Republic"
"Europe","Denmark","Sjaelland"
"Europe","Denmark","Syddanmark"
"Europe","Denmark","Hovedstaden"
"Europe","Denmark","Nordjylland"
"Europe","Denmark","Midtjylland"
"Africa","Egypt","Egypt"
"Africa","Egypt","Cairo"
"Africa","Egypt","Suez"
"Europe","Spain","Asturias"
"Europe","Spain","Andalusia"
"Europe","Spain","Basque Country"
"Europe","Spain","Comunitat Valenciana"
"Africa","Ethiopia","Ethiopia"
"Africa","Ethiopia","Addis Ababa"
"Europe","United Kingdom","England"
"Europe","United Kingdom","United Kingdom"
"Europe","Estonia","Estonia"
"Europe","Estonia","Rapla"
"Europe","Estonia","Tartu"
"Europe","Estonia","Pärnu"
"Europe","Estonia","Viljandi"
"Europe","Estonia","Harjumaa"
"Europe","Estonia","Hiiu"
"Europe","Estonia","Jõgeva"
"Europe","Estonia","Põlva"
"Europe","Estonia","Võru"
"Europe","Estonia","Lääne-Viru"
"Europe","Estonia","Valga"
"Europe","Estonia","Ida-Viru"
"Europe","Estonia","Jarva Maakond"
"Europe","Estonia","Saare"
"Europe","Estonia","Lääne"
"Europe","Finland","Finland"
"Europe","France","France"
"Europe","France","Nouvelle-Aquitaine"
"South America","Peru","Peru"
"Europe","France","Grand Est"
"Europe","Switzerland","Basel-Stadt"
"Africa","Gabon","Gabon"
"Europe","United Kingdom","Scotland"
"Asia","Georgia","Georgia (Asia)"
"Africa","Ghana","Ghana"
"Africa","Guinea","Guinea"
"Africa","Gambia","Gambia"
"Europe","Greece","Greece"
"Europe","Greece","Athens"
"North America","USA","Guam"
"Europe","Germany","Berlin"
"Europe","Germany","Baden-Wuerttemberg"
"Europe","Germany","Niedersachsen"
"Europe","Germany","Thuringia"
"North America","Guatemala","Guatemala"
"Europe","France","Hauts de France"
"Europe","Poland","Poland"
"Europe","Poland","Wielkopolskie"
"Europe","Poland","Kujawsko-Pomorskie"
"Europe","Hungary","Hungary"
"Asia","Japan","Japan"
"Asia","Indonesia","Indonesia"
"Asia","India","Kerala"
"Asia","India","Uttar Pradesh"
"Asia","India","Delhi"
"Asia","India","Telangana"
"Asia","India","Madhya Pradesh"
"Asia","India","Maharashtra"
"Asia","India","Gujarat"
"Asia","India","Karnataka"
"Asia","Iran","Iran"
"Asia","Iraq","Iraq"
"Asia","Iraq","Iraqi Kurdistan"
"Asia","Israel","Israel"
"Europe","Italy","Abruzzo"
"Europe","Italy","Lombardy"
"Europe","Italy","Lazio"
"Europe","Italy","Sardinia"
"Europe","Italy","Sicily"
"Europe","Italy","Tuscany"
"Europe","Iceland","Iceland"
"North America","Jamaica","Jamaica"
"Asia","Jordan","Jordan"
"Asia","Jordan","Amman"
"Asia","Jordan","Irbid"
"Asia","Japan","Hiroshima"
"Asia","Japan","Tokyo"
"Asia","Japan","Kanto"
"Asia","Japan","Kansai"
"Asia","Japan","Hokkaido"
"Asia","Japan","Tochigi"
"Asia","Japan","Kochi"
"Asia","Japan","Chiba"
"Asia","Japan","Ishikawa"
"Asia","Japan","Saitama"
"Asia","Japan","Shizuoka"
"Asia","Kazakhstan","Almaty"
"Asia","Kazakhstan","Kazakhstan"
"Africa","Kenya","Kenya"
"Asia","Cambodia","Cambodia"
"Asia","Cambodia","Phnom Penh"
"Asia","South Korea","South Korea"
"Asia","South Korea","Seoul"
"Asia","Lebanon","Lebanon"
"Africa","Libya","Libya"
"Asia","Japan","Kanagawa"
"Asia","Japan","Osaka"
"Asia","Sri Lanka","Sri Lanka"
"Europe","Switzerland","Zürich"
"Europe","Switzerland","Uri"
"Europe","Switzerland","Schwyz"
"Europe","Switzerland","Basel-Land"
"Europe","Switzerland","Zug"
"Europe","Switzerland","Vaud"
"Europe","Switzerland","Aargau"
"Europe","Switzerland","Graubünden"
"Europe","Switzerland","Sankt Gallen"
"Europe","Switzerland","Valais"
"Europe","Switzerland","Ticino"
"Europe","Switzerland","Lucerne"
"Europe","Sweden","Stockholm"
"Europe","Switzerland","Geneva"
"Europe","Switzerland","Solothurn"
"Europe","Switzerland","Schaffhausen"
"Europe","Switzerland","Thurgau"
"Europe","Switzerland","Glarus"
"Europe","Switzerland","Fribourg"
"Europe","Switzerland","Nidwalden"
"Europe","Switzerland","Appenzell Ausserrhoden"
"Europe","Switzerland","Jura"
"Africa","Zimbabwe","Zimbabwe"
"Europe","Italy","Apulia"
"Africa","Lesotho","Lesotho"
"Europe","Liechtenstein","Liechtenstein"
"Europe","Liechtenstein","Balzers"
"Europe","Liechtenstein","Schaan"
"Europe","Liechtenstein","Triesen"
"Europe","Liechtenstein","Eschen"
"Europe","Liechtenstein","Mauren"
"Europe","Liechtenstein","Vaduz"
"Europe","Liechtenstein","Gamprin-Bendern"
"Europe","Liechtenstein","Planken"
"Europe","Liechtenstein","Ruggell"
"Europe","Liechtenstein","Schaanwald"
"Europe","Liechtenstein","Schellenberg"
"Africa","Morocco","Casablanca"
"Africa","Morocco","Morocco"
"North America","Mexico","Mexico"
"North America","Mexico","Jalisco"
"North America","Mexico","Baja California"
"Africa","Mali","Mali"
"Africa","Mali","Bamako"
"Africa","Mali","Sikasso Region"
"Africa","Mali","Koulikoro Region"
"Africa","Mali","Mopti Region"
"Europe","Malta","Malta"
"Asia","Myanmar","Myanmar"
"Asia","Myanmar","Yangon"
"Asia","Mongolia","Mongolia"
"South America","Ecuador","Ecuador"
"Africa","Malawi","Malawi"
"Asia","Malaysia","Malaysia"
"Asia","Malaysia","Pahang"
"North America","USA","Hawaii"
"North America","Mexico","Chihuahua"
"North America","Mexico","Sonora"
"North America","Mexico","Sinaloa"
"Africa","Nigeria","Oyo State"
"Africa","Nigeria","Nigeria"
"Europe","Netherlands","Netherlands"
"Europe","Netherlands","South Holland"
"Europe","Norway","Norway"
"Europe","Norway","Vestland"
"Asia","Nepal","Nepal"
"Oceania","New Zealand","New Zealand"
"Oceania","New Zealand","Auckland"
"Oceania","New Zealand","Canterbury"
"Oceania","New Zealand","Waikato"
"Oceania","New Zealand","Taranaki"
"Oceania","New Zealand","Hawkes Bay"
"Oceania","New Zealand","Nelson Marlborough"
"Oceania","New Zealand","South Canterbury"
"Oceania","New Zealand","Whanganui"
"Oceania","New Zealand","Midcentral"
"Oceania","New Zealand","Wellington"
"Oceania","New Zealand","Capital And Coast"
"Oceania","New Zealand","Southland"
"Europe","Netherlands","North Brabant"
"Europe","Netherlands","North Holland"
"Europe","Netherlands","Drenthe"
"Europe","Netherlands","Flevoland"
"Europe","Netherlands","Friesland"
"Europe","Netherlands","Gelderland"
"Europe","Netherlands","Utrecht"
"Europe","Netherlands","Limburg NL"
"Europe","Netherlands","Overijssel"
"Europe","United Kingdom","Northern Ireland"
"Europe","United Kingdom","Wales"
"Europe","Poland","Slaskie"
"Europe","Germany","Brandenburg"
"Europe","Germany","Bremen"
"Europe","Germany","Hamburg"
"Europe","Germany","Mecklenburg-Vorpommern"
"Europe","Germany","Rheinland-Pfalz"
"Europe","Germany","Schleswig-Holstein"
"Europe","Germany","Saarland"
"Europe","Germany","Saxony"
"Europe","Germany","Saxony-Anhalt"
"Europe","Poland","Mazowieckie"
"Europe","Poland","Dolnośląskie"
"Europe","Slovakia","Slovakia"
"Europe","Germany","Lower Saxony"
"Europe","Poland","Malopolskie"
"Europe","Italy","Friuli Venezia Giulia"
"Europe","Poland","Swietokrzyskie"
"Europe","Poland","Lubuskie"
"Asia","Saudi Arabia","Makkah"
"Asia","Saudi Arabia","Jeddah"
"Asia","Saudi Arabia","Madinah"
"Asia","Saudi Arabia","Eastern Province SA"
"Asia","Saudi Arabia","Riyadh"
"North America","USA","Minnesota"
"North America","USA","Pennsylvania"
"Asia","Pakistan","Sindh"
"Asia","Pakistan","Pakistan"
"Asia","Pakistan","Gilgit Baltistan"
"Asia","Pakistan","Islamabad Capital Territory"
"Asia","Pakistan","Khyber Pakhtunkhwa"
"Asia","Pakistan","Punjab PK"
"Asia","Pakistan","Azad Kashmir"
"Asia","Pakistan","Rawalpindi"
"South America","Peru","Loreto"
"South America","Peru","Lambayeque"
"Asia","Philippines","Philippines"
"Asia","Philippines","Manila"
"Asia","Philippines","Calabarzon"
"Asia","Philippines","Central Luzon"
"Oceania","Palau","Palau"
"North America","USA","Puerto Rico"
"Europe","Portugal","Portugal"
"Europe","Portugal","Coimbra"
"Asia","Singapore","Singapore"
"North America","USA","Virginia"
"Europe","Romania","Romania"
"Europe","Russia","Russia"
"Europe","Russia","Samara Region"
"Europe","Russia","Moscow Oblast"
"Europe","Russia","Saratov"
"Europe","Russia","Primorsky"
"Europe","Russia","Penza"
"Asia","Saudi Arabia","Saudi Arabia"
"Africa","Sierra Leone","Sierra Leone"
"Africa","Sierra Leone","Western Area"
"Africa","Sierra Leone","Bonthe"
"Africa","Somalia","Benadir"
"Africa","Somalia","Somalia"
"Europe","Serbia","Serbia"
"Europe","Serbia","South Bačka District"
"Europe","Serbia","North Bačka District"
"Europe","Kosovo","Pristina"
"Europe","Kosovo","Mitrovica"
"Europe","Serbia","Raška District"
"Europe","Serbia","Leskovac"
"Europe","Serbia","Medvedja"
"Europe","Serbia","Nis"
"Europe","Serbia","South Banat District"
"Europe","Serbia","Pirot"
"Europe","Serbia","Sabac"
"Europe","Serbia","Srem District"
"Europe","Kosovo","Ferizaj"
"Europe","Serbia","Zlatibor District"
"Europe","Serbia","Vranje"
"Europe","Serbia","Central Banat District"
"Europe","Sweden","Sweden"
"Africa","Seychelles","Seychelles"
"Europe","Serbia","Vojvodina"
"Africa","South Africa","South Africa"
"Europe","Switzerland","Appenzell Innerrhoden"
"Europe","Switzerland","Neuchâtel"
"Europe","Switzerland","North-West CH"
"Europe","Switzerland","Obwalden"
"Europe","France","Auvergne-Rhône-Alpes"
"Africa","Togo","Togo"
"Asia","Thailand","Kamphaeng Phet"
"Africa","Tunisia","Tunisia"
"Africa","Tunisia","Bizerte"
"Africa","Tunisia","Ben Arous"
"Europe","Turkey","Turkey"
"Europe","Turkey","Europe"
"Asia","Taiwan","Taiwan"
"Africa","Uganda","Uganda"
"South America","Uruguay","Uruguay"
"North America","USA","Tennessee"
"North America","USA","South Carolina"
"North America","USA","Massachusetts"
"North America","USA","North Carolina"
"North America","USA","Arkansas"
"North America","USA","West Virginia"
"North America","USA","Ohio"
"North America","USA","Iowa"
"North America","USA","Illinois"
"North America","USA","South Dakota"
"North America","USA","Missouri"
"North America","USA","Alabama"
"North America","USA","New Hampshire"
"North America","USA","Connecticut"
"North America","USA","California"
"North America","USA","New Jersey"
"North America","USA","Georgia"
"North America","USA","Mississippi"
"North America","USA","Idaho"
"North America","USA","New York"
"North America","USA","Alaska"
"North America","USA","Michigan"
"North America","USA","American Samoa"
"North America","USA","Louisiana"
"North America","USA","Arizona"
"North America","USA","Washington"
"North America","USA","Wisconsin"
"North America","USA","Maryland"
"North America","USA","Colorado"
"North America","USA","Washington DC"
"North America","USA","Delaware"
"North America","USA","Kentucky"
"North America","USA","Indiana"
"North America","USA","Kansas"
"North America","USA","Rhode Island"
"North America","USA","Oklahoma"
"North America","USA","Maine"
"North America","USA","Northern Mariana Islands"
"North America","USA","Montana"
"North America","USA","North Dakota"
"North America","USA","Nebraska"
"North America","USA","New Mexico"
"North America","USA","Nevada"
"North America","USA","Utah"
"North America","USA","Oregon"
"North America","USA","North America"
"North America","USA","Missing"
"North America","USA","Virgin Islands"
"North America","USA","Vermont"
