"rules","support","confidence","coverage","lift","count","count_in_lineage","success_rate"
"{ORF1b.F685Y} => {S.G142D}",0.162486356550052,0.998269857065316,0.162767968400574,1.21509163492081,88279,558,0.994623655913978
"{ORF1b.F685Y,ORF7a.V82A} => {S.G142D}",0.147542522469129,0.998119809241573,0.147820453118989,1.21490899707577,80160,538,0.994423791821561
"{ORF1a.L3606F,ORF1b.F685Y} => {S.G142D}",0.00508925991301323,0.991039426523297,0.00513527492126832,1.2062907725024,2765,17,1
"{ORF1a.A2355S} => {S.G142D}",0.0196189254144772,0.993041237113402,0.0197564055562345,1.3761509098292,3853,1001,0.995004995004995
"{S.Q613H} => {S.G142D}",0.00824371664833598,0.830682401231401,0.00992402949203633,1.15115495662257,1619,2423,0.76062732150227
"{ORF1a.L3606F,ORF1b.F685Y} => {S.T95I}",0.00513527492126832,1,0.00513527492126832,1.10236806811011,2790,0,0
"{ORF1a.L3606F,ORF1b.F685Y,S.G142D} => {S.T95I}",0.00508925991301323,1,0.00508925991301323,1.10236806811011,2765,0,0
"{ORF1b.F685Y,S.G142D} => {S.T95I}",0.162317021319674,0.998957849545192,0.162486356550052,1.10121923472656,88187,0,0
"{ORF1b.F685Y} => {S.T95I}",0.162594951969534,0.998937036366926,0.162767968400574,1.10119629094345,88338,0,0
"{ORF1b.F685Y,ORF7a.V82A,S.G142D} => {S.T95I}",0.14737870903974,0.998889720558882,0.147542522469129,1.10114413150754,80071,0,0
"{ORF1b.F685Y,ORF7a.V82A} => {S.T95I}",0.147652958488941,0.998866904907173,0.147820453118989,1.10111898026165,80220,0,0
"{ORF1b.K2557R,S.G142D} => {S.T95I}",0.00608318409132323,0.998791175581747,0.00609054649264404,1.10103549867148,3305,0,0
"{ORF1b.K2557R,ORF7a.V82A,S.G142D} => {S.T95I}",0.00532117555461889,0.998618307426598,0.00532853795593971,1.10084493433725,2891,0,0
"{ORF1a.L3606F,S.G142D} => {S.T95I}",0.0248867570646842,0.998301831069108,0.0249290908722789,1.10049606090644,13521,0,0
"{ORF1a.L3606F,ORF7a.V82A,S.G142D} => {S.T95I}",0.0236811638484008,0.998292985723153,0.0237216570556653,1.10048631007951,12866,0,0
"{ORF1b.K2557R} => {S.K1191N}",0.0546551217646201,0.923904112036012,0.0591567036585392,16.5804800492962,25861,0,0
"{ORF1b.K2557R} => {ORF1a.Q3966R}",0.0546973901392109,0.924618627415955,0.0591567036585392,11.5841613598783,25881,0,0
"{ORF1a.L4182F} => {ORF1b.P218L}",0.00861218132287332,0.965868689262859,0.008916513619927,5.83458476544369,4075,0,0
"{ORF1b.K2557R} => {ORF1b.K1383R}",0.0555258502811904,0.938623128862849,0.0591567036585392,4.23642380898219,26273,0,0
