"lineage","country","date","N.T166I","N.A182S","N.D401Y","ORF1a.M297V","ORF1a.E995D","ORF1b.M115I","ORF1b.P314L","ORF1b.L1449F","ORF1b.L1846V","ORF3a.Q57H","ORF3a.V77F","ORF7a.T28I","ORF8.Y105F","S.S477N","S.D614G","ORF9b.G38D","ORF1b.A2559T","ORF1a.F2209L","ORF3a.R68I","ORF1b.H1619Y","ORF1b.T2488M","ORF1a.F3172C","ORF1a.K636R","ORF1a.I114T","ORF1b.P1594L","ORF1a.L2146F"
"B.1.438.4","USA","2021-01-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2021-01-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-12-01",1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-12-01",1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-12-02",1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-12-01",1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-12-29",1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-12-29",1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-12-22",1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-12-07",1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-11-01",1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-11-09",0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-11-11",1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-11-15",0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2021-01-11",1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
"B.1.438.4","USA","2020-11-11",0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"B.1.438.4","USA","2020-11-11",0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"B.1.438.4","USA","2020-11-12",0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"B.1.438.4","USA","2020-11-10",0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"B.1.438.4","USA","2021-01-15",1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"B.1.438.4","USA","2020-12-18",1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"B.1.438.4","USA","2021-02-10",1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"B.1.438.4","USA","2021-03-21",1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
"B.1.438.4","USA","2021-02-09",1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
"B.1.438.4","USA","2021-03-11",1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
"B.1.438.4","USA","2021-03-11",1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
"B.1.438.4","USA","2021-03-15",1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
"B.1.438.4","USA","2021-03-17",1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
"B.1.438.4","USA","2021-03-23",1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
"B.1.438.4","USA","2021-01-04",1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
"B.1.438.4","USA","2020-12-08",1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1
