"lineage","country","date","N.R203K","N.G204R","ORF1a.L3930F","ORF1a.R3999S","ORF1a.I4049S","ORF1a.N4051V","ORF1b.P314L","S.D614G","S.V1176F","N.P6H","ORF1a.T1543I","ORF1a.T2121I","ORF1a.V3718F","ORF3a.H78Y","ORF8.I39T","ORF9b.P3T","S.A222V","S.N679K","ORF1a.I664F","ORF1b.D2323Y","ORF7a.V29L","ORF1a.V757F","ORF1b.R2613N","M.A2S","ORF1a.V2090G","ORF3a.S253P","ORF3a.Y264N","ORF1a.N4051D","S.N185K","ORF1b.R2613H","ORF1a.L3199K","ORF1a.P3200H","ORF1a.K4000Q","ORF1a.L4001S","ORF1a.E4002H","ORF1a.A4005G","ORF1a.Q4007P","ORF1a.N4046D","ORF1a.N4047K","ORF1a.I4048F","ORF1a.N4050C","ORF1b.T671I","S.N657K","S.G971C","ORF1b.V2073L","S.I68R","ORF1a.S994G","ORF1a.N4051I","ORF1b.M1596I","ORF1b.A2585S","ORF1b.K2557R","M.K15N","ORF7a.H73T","ORF7a.Y75H","ORF7a.L77T","ORF7a.R78I","ORF7a.V82A","ORF1a.G49V","ORF1a.L469F","ORF1a.E940D","ORF1a.Q1582R","ORF1b.A176V","ORF1b.G669C","ORF1b.Y1944C","ORF1b.A2021T","S.V1040A","S.D1041E","S.F1042Y","S.C1043S","S.G1044R","ORF9b.Q34L","S.Q762P","S.L763A","S.R765N","S.A766S","S.T768K","S.A903V","ORF1a.K4000H","ORF1a.E4002V","ORF1a.I4049G","ORF1b.K1431E","ORF1a.M1378I","ORF1a.L3606F","ORF1a.A4044V","ORF1a.L4045I","ORF1a.N4046Y","ORF1a.I4049K","ORF1a.T2648I","N.P13L","ORF1a.T1881I","ORF1a.T4090I","ORF1b.A1392S","ORF3a.T24I","ORF3a.T151I","ORF9b.P10S","ORF1a.G989S","ORF1a.A3518V","ORF1b.T217M","ORF3a.S180F","ORF7a.M1L","ORF7a.K2N","S.M153T","S.E180D","S.E484K","S.N764K","ORF1a.K3353R","ORF1b.I1579V","ORF1b.V2102I","ORF3a.K21N","ORF3a.S58G","S.A871S","ORF1a.Y1418C","ORF1a.L3490F","ORF1a.P380S","ORF1a.V620F","ORF1a.K1230N","ORF1a.S2273F","ORF3a.T223I","S.I472V","ORF1a.T265I","ORF1a.K1655N","ORF1b.L820F","ORF8.K2Q","S.A27S","S.D80A","S.T95I","S.D215G","S.K417N","S.N501Y","S.P681H","S.E1092K","S.H1101Y","N.Q384L","ORF1a.L2122F","ORF7b.C41F","ORF8.D35Y","ORF1a.S2396G","ORF1a.T4364I","ORF1a.A3143V","ORF1a.P4075S","ORF7b.T40I","S.A263V","ORF1a.P2287S","ORF1a.V2588F","ORF1a.L3027F","ORF1a.Q3777H","ORF1b.T17I","S.L54F","ORF1a.S944L","ORF1a.N3537D","ORF1b.T797I","ORF7a.S37T","S.S155N","S.I670V","S.K776R","ORF1b.P1936L","N.D377Y","ORF1a.G519S","ORF1a.D1036E","ORF1a.V1236F","ORF1a.L2688F","ORF1a.P3359L","ORF1b.A1225S","S.E96D","S.H245Y","S.N501I","ORF8.C37S","ORF8.P93S","ORF1b.A186V","ORF3a.G224V","S.H655Y","S.S689I","ORF1a.S376L","ORF1a.E726K","ORF1a.S2488F","ORF1a.S2493I","ORF1a.M4116V","ORF1b.A2222V","ORF8.H40Y","S.A163V","ORF1a.R226K","ORF1a.E1126K","ORF7b.V21I","ORF1b.M1839I","ORF8.E110.","N.A119S","N.M234I","ORF1a.E1209D","ORF1a.R3480M","ORF1b.L1088I","ORF1b.Q1778R","ORF3a.A23F","S.D1153Y","ORF1a.P193L","ORF1a.V2783F","ORF1a.V3690L","ORF1a.L4182F","ORF7a.T39I","S.K1191N","ORF1a.V86F","ORF3a.V90F","S.E309Q","ORF1a.T3398I","S.E868K","S.D1146Y","N.G214V","ORF1a.W630C","ORF1a.T3255I","S.Q1071H","N.A152S","ORF1b.D702G","ORF3a.P42S","N.D144H","N.P383L","ORF1a.V337F","ORF1a.S1905F","ORF1b.P218L","ORF8.F6L","ORF8.I71T","S.D80Y","S.S640F","N.D3L","N.P80R","ORF1a.S1188L","ORF1a.K3573R","ORF8.Q27.","ORF8.R52I","ORF8.Y73C","ORF9b.Q77E","S.L18F","S.T20N","S.P26S","S.D138Y","S.A570D","S.T1027I","ORF1a.V1071A","ORF1a.V1211F","ORF1a.P1810L","ORF1a.L3468V","ORF1b.T2165A","S.A1020V","ORF1a.A354V","ORF1a.T403I","ORF1a.P926S","ORF1a.S2981F","ORF7a.T28I","ORF1a.A3497V","N.A90S","ORF1a.T999I","ORF1a.P3767S","ORF1b.P2633S","ORF9b.E86D","S.N439K","ORF1a.P959S","ORF1a.G1030D","ORF1a.A2345V","ORF1a.I3618V","ORF1a.T4175I","ORF1b.K996I","ORF1b.H1838Y","ORF3a.W69L","S.T478K","S.T732A","ORF3a.V121A","ORF8.A14S","ORF8.V33I","N.D81G","ORF1a.E940G","ORF1b.T2040I","ORF9b.M78V","ORF1a.S2114F","M.H125Y","ORF1a.L890F","ORF1a.P2046L","ORF3a.L101F","ORF7a.P45L","S.P251S","S.E484D","S.S494P","ORF1b.S2637A","ORF3a.L83F","N.R14C","ORF1a.V3653F","S.A1020S","ORF1b.S638I","E.T9I","ORF1a.P197S","ORF1a.S391F","ORF3a.V90L","ORF1b.Y1464C","S.M1229I","S.Q1201K","ORF1a.A3209T","ORF1b.V2089F","ORF1b.M2417I","ORF3a.R134H","S.R21K","S.T240I","S.T323I","ORF1a.Y3722C","ORF1a.S2303F","ORF1a.P3613L","ORF1b.K50N","ORF1b.L1423I","N.A211S","ORF1a.P309S","ORF1a.T1840I","ORF1a.A2759T","ORF1a.K3979N","ORF1a.Y4206H","ORF1a.A4285V","ORF3a.V13L","ORF3a.E242V","ORF7a.L116F","S.Q675H","ORF8.Q72H","ORF1b.D2270Y","ORF1b.S2688C","ORF1b.S2689R","ORF1b.D2690S","S.N658T","M.A98S","N.V133A","N.R185C","ORF1a.D954N","ORF1a.S2024P","S.D796Y","ORF6.P57L","S.D808E","ORF1a.D1228G","ORF1a.Q1403H","ORF1a.I2538V","ORF3a.A54S","S.Q677H","ORF1a.T951I","ORF1a.D1940G","ORF1a.G227S","ORF1b.L1504F","ORF3a.Q213K","ORF8.V62L","ORF1a.V605F","ORF1a.F2337V","ORF1b.E269D","ORF1a.H3580Y"
"B.1.1.28","Brazil","2020-05-11",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.28","Brazil","2020-12-17",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.28","Brazil","2020-04-21",1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.28","Brazil","2020-03-20",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.28","Brazil","2020-11-21",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.28","Brazil","2020-07-12",1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.28","Brazil","2020-04-21",1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.28","Brazil","2020-04-27",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.28","Brazil","2020-04-29",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.28","Brazil","2020-05-12",1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
