"lineage","country","date","M.H155Y","N.D128N","N.R203K","N.G212V","N.E378Q","ORF1a.T814I","ORF1a.D992N","ORF1a.M2259I","ORF1a.M3087I","ORF1b.P314L","ORF1b.A2222V","ORF1b.R2308C","ORF1b.A2623S","S.D614G","S.P809S","S.T859I","N.V246A","ORF1a.L92F","ORF1a.K2395R","ORF1a.A3497V","ORF3a.T151I","N.T247N","ORF1b.M2269I","ORF7a.V104F","ORF1a.E250G","ORF1a.A903V","ORF1a.G993D","ORF1a.T1000I","ORF1a.P1207S","ORF1b.V1840I","ORF1a.A429T","ORF1a.S2114F","ORF3a.L53F","ORF8.W45L","ORF8.S54L","S.C1254F","ORF1a.N310I","S.V826L","ORF1a.V2324G","ORF1a.L3606F","ORF1b.L1504F","ORF1a.E93K","ORF1a.S3158G","ORF1b.Q2295H","ORF1b.V2369I","ORF1a.S3687L","ORF1a.S3149F","ORF1a.R184C","N.R36Q","ORF7a.L5I","ORF9b.D33N","M.Q19H","N.P199L","ORF1a.S443F","ORF1a.H1113Y","ORF1a.S2242F","ORF1a.A2850V","ORF1b.V1021F","ORF3a.Q38R","ORF3a.L111I","ORF3a.G172R","ORF3a.V202L","ORF6.F7L","S.S98F","ORF1a.T2846I","ORF1a.L3951F","ORF1a.A339V","ORF1a.M3065I","S.R246T","ORF1b.S2076F","N.S235F","ORF1b.I553V","ORF1a.V757I","ORF1a.K2120R","ORF3a.A72S","ORF8.R48S","S.L5F","ORF1b.A697V","M.A63V","ORF1b.V2365I","ORF1b.T2548I","ORF9b.P10L","ORF1b.Q1277H","ORF3a.W131C","S.T76I","N.Q242L","ORF1b.K258N","S.V534I","N.D103Y","ORF1b.M454I","S.D1163Y","ORF1a.N1042S","N.G238C","ORF1a.S279F","ORF1b.K2063N","ORF1b.A2132S"
"B.1.218","Germany","2021-04-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.218","United Kingdom","2021-03-05",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.218","United Kingdom","2020-10-31",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.218","United Kingdom","2020-11-03",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.218","United Kingdom","2020-11-22",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.218","United Kingdom","2020-08-27",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.218","United Kingdom","2020-08-27",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.218","United Kingdom","2020-08-25",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.218","United Kingdom","2020-08-20",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.218","United Kingdom","2020-08-31",0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
