"lineage","country","date","N.S190I","ORF1a.T265I","ORF1a.K3353R","ORF1b.P314L","ORF3a.Q57H","S.D614G","S.A879V","N.N11S","ORF1a.I463V","ORF1a.T2280I","ORF9b.M8V","ORF1b.V222I","ORF3a.S171L","ORF3a.G174D","ORF1a.L730F","ORF1a.L3606F","ORF1a.E2031G","ORF1b.M2269I","S.A623S","ORF1a.E37D","ORF1a.A967V","ORF1a.E1549K","ORF1b.P85L","ORF1b.A391T","ORF1a.S318L","ORF1a.T2495I","ORF1b.S2154F","ORF7b.L18V","ORF1a.K1763R","ORF1b.L629F","ORF3a.T14I","ORF3a.D183E","ORF1a.T2648I","ORF1a.V3759G","S.L5F","ORF1a.L3483F","ORF1b.E1167D","ORF7a.L96F","S.G1219C","ORF1a.V1416I","ORF1a.T1597I","ORF1a.N3443S","N.H145Y","ORF1a.S2048Y","ORF1a.S2103F","S.A647V","ORF1a.L642F","ORF1b.T1404M","ORF7a.V104F","N.A398V","ORF1a.T1876I","ORF1a.V2047I","ORF1a.G4177R","ORF1a.T4207I","ORF3a.G254R","S.A67V","ORF1a.E381G","ORF1a.P1640S","ORF1b.A1491V","ORF1b.V839L","S.D138H","ORF1a.H110Y","ORF1a.V3917F","ORF1a.T4087I","ORF1a.K1233N","ORF1a.L4386I","ORF1a.P1158L","ORF1b.R2186K","S.V1164F","ORF1b.V1271A","ORF1a.T1000I","ORF1a.R24C","ORF1a.L1375V","N.Q28H","ORF9b.R25I","N.S413I","ORF7b.D8G","ORF1a.E754G","ORF1b.H1550Y","ORF1a.S3384L","ORF1a.S4398L","ORF1b.T393I","S.D253G","ORF1a.P1213S","ORF1a.P1497S","ORF1b.A788T","N.P383Q","ORF1b.L2213F","ORF1a.G295C","ORF1b.A1805G","S.A243S","S.V367I","ORF8.I76V","ORF1a.P2605S","N.G5E","ORF1a.S771C","ORF1a.A2745T","ORF9b.D2N","ORF1a.T1022I","ORF1a.E1136A","ORF1a.D2060Y","ORF1b.V1493L","ORF1a.C1235Y","ORF1a.P1921S","ORF1a.A516V","ORF3a.P240L","ORF1b.T267M","ORF1b.I1823V","ORF1b.D2090Y","N.P67S","ORF1a.L1016F","ORF1b.Q1546H","ORF1b.L2560F","ORF1b.M809L","ORF1a.T1754I","ORF1a.P748L","S.V1264L","N.S194L","N.Q289H","ORF3a.S26L","ORF1a.G524V","ORF1b.G977C","ORF1a.D264Y","ORF1a.S2255F","S.G769V","N.D63N","ORF1a.T1626I","ORF1a.S2048A","ORF1b.T1555I","N.S193I","ORF1a.A2460V","ORF1b.S1898F","ORF7b.I2S","ORF1a.T3665I","ORF1b.G662S","ORF1b.I1598T","N.M234I","ORF1a.A2529V","ORF3a.I62T","ORF7b.M24I","ORF3a.L41F","ORF1a.V751L","S.D138Y","S.H69Y","N.I157T","ORF1a.A2123V","ORF1a.A3070V","ORF8.Q18.","N.D144Y","ORF1a.K2511N","ORF1b.S1881I","E.T9I","ORF1b.E1264D","ORF1b.L1890F","ORF1b.I2357T","ORF9b.F69S","N.Q83H","N.A208S","N.T265I","ORF9b.K80T","N.V72I","N.A119S","N.P199S","ORF1a.E102K","ORF1a.A486V","ORF1a.K1124R","ORF1a.T3308I","ORF1a.G4177E","ORF1b.Y2139H","S.Y453F","N.R40C","ORF9b.A57V","ORF1a.P1472S","S.A1020V","ORF1a.D1184E","ORF3a.T89I","ORF1b.S59F","ORF1a.T1474I","ORF1a.V1295F","ORF1a.G2126S","N.M317V","ORF1a.M2254V"
"B.1.582","United Kingdom","2020-07-27",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.582","United Kingdom","2020-07-27",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.582","USA","2021-01-28",1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.582","USA","2021-01-28",1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.582","USA","2020-07-14",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.582","USA","2020-12-27",1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.582","USA","2020-12-27",1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.582","USA","2021-01-08",1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.582","USA","2021-01-25",1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.582","USA","2020-09",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
