"lineage","country","date","N.M234I","N.A376T","ORF1a.E1142G","ORF1a.K1202N","ORF1a.M3087I","ORF1b.A176S","ORF1b.T284I","ORF1b.P314L","ORF1b.V767L","ORF1b.K1141R","ORF1b.E1184D","ORF3a.Q57H","ORF3a.I63T","ORF8.H17Y","ORF8.Y111F","S.S477N","S.D614G","N.T391N","ORF1a.S428N","ORF1a.A903V","ORF8.A65S","ORF1a.C3682F","ORF1b.G2610N","S.S254F","ORF1a.A516V","ORF1a.V3976I","ORF1b.P1967S","S.E583D","ORF1a.P1609S","ORF1b.Y1247D","ORF3a.Q185H","S.T572I","ORF1a.A3454V","ORF6.E13D","S.A263T","S.T618I","S.L1203F","N.P142A","ORF1b.S1159N","N.T379I","ORF1a.A3220V","S.P809S","ORF1a.S3344F","M.A2S","S.R1107S","S.H146Y","E.T30I","M.H125Y","ORF1a.V1085G","ORF1a.T2967I","ORF1a.S3264G","ORF1a.Y3722C","ORF1b.G662S","ORF1b.N725D","ORF1b.S2212I","S.K1149Q","E.A32V","N.T265I","ORF1a.P2018S","ORF1b.K2140R","S.S12F","ORF7a.P68L","ORF1b.V1708F","ORF1a.E37D","ORF1a.P2739L","ORF1a.S216Y","ORF7a.P84L","ORF1b.R2189C","ORF1a.A3070V","N.D402G","ORF1a.A3523V","ORF3a.L140F","S.P26S","S.W152R","N.P326L","S.L8F","S.F192I","N.K248N","ORF1b.T1522I","ORF1b.V2371L","ORF1a.G603S","ORF1b.I1227M","S.D1127Y","ORF1a.R4132K","N.T325I","ORF1a.G442D","ORF1b.A1291V"
"B.1.160.9","Switzerland","2020-12-26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.9","Switzerland","2020-12-22",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.9","Switzerland","2020-12-23",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.9","Switzerland","2020-12-25",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.9","Switzerland","2020-12-31",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.9","Switzerland","2021-01-02",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.9","Switzerland","2021-01-07",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.9","Switzerland","2021-01-01",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.9","Switzerland","2021-01-01",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.160.9","Switzerland","2021-01-01",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
