"lineage","country","date","N.S194L","ORF1a.I2501T","ORF1b.P314L","ORF1b.S355F","ORF1b.H1213Y","ORF1b.M1573I","S.N439K","S.D614G","N.P80L","ORF1a.M2365I","ORF1b.M1596I","ORF3a.L94F","ORF9b.Q77.","S.C1247F","ORF1a.E3764D","ORF1a.M4241I","ORF1b.T132I","ORF1b.V711I","ORF1b.A1521S","ORF3a.A72S","ORF1a.R1163K","ORF1a.T2247I","S.R346K","ORF1a.Y1634H","ORF1b.T2048I","ORF7a.T120I","ORF8.H40R","ORF1a.Y4080C","ORF1a.K4232R","ORF8.D35G","ORF3a.D210N","ORF1a.L4188S","ORF1a.N2065H","ORF1a.K3353R","ORF1a.L469F","ORF1a.R1170H","ORF1a.T2978S","ORF1a.F3422L","ORF1a.H134R","ORF1a.A1649V","S.L18F","ORF1a.R4387C","ORF1a.L1853F","ORF1a.A3901V","ORF1a.A2097T","S.G257D","ORF1a.P3134S","ORF1b.S997L","ORF1a.E87D","ORF1a.K1230R","ORF1a.Q1813H","ORF1a.A2784V","ORF1b.F1969L","ORF1b.K360R","ORF1b.A520S","S.A222V","ORF1a.S538L","ORF1a.M4390I","ORF1a.P1961H","ORF1a.T2310I","ORF1b.A1884V","ORF3a.R68I","ORF1b.P2633L","ORF1a.P1010S","ORF1a.L1191W","ORF1a.A3995S","ORF3a.Q213K","S.S98P","ORF1b.D152G","N.L339M","ORF1b.A1521V","ORF1a.V1747I","ORF1b.D1986E","ORF1a.L3606F","ORF1b.F462P","ORF8.A65T","N.P168S","N.A55S","ORF1b.Y1944.","ORF1b.E75A","N.E253D","ORF1a.P971L","ORF1b.P1095S","N.A173V","ORF1b.A517V","ORF1a.T4249I","ORF1a.R24C","ORF1a.S2981F","ORF1a.P1158L","ORF1a.F1632L","ORF3a.A33S","ORF1b.T2488M","ORF1b.P1570L","ORF8.P30L","ORF1b.Y1108C","ORF3a.D27Y","ORF1b.T861I","ORF1b.T981A","ORF1b.H2010Y","ORF1b.N2059S","ORF1a.E1142G","ORF3a.L85F","ORF1a.F1028V"
"B.1.258.14","United Kingdom","2020-11-05",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.14","United Kingdom","2020-10-14",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.14","Estonia","2021-01-03",1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.14","Estonia","2021-02-08",1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.14","Germany","2021-01-25",1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.14","Germany","2021-01-25",1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.14","Germany","2021-01-28",1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.14","Germany","2020-12-28",1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.14","Germany","2021-02-04",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.258.14","Germany","2021-02-04",1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
