"lineage","country","date","N.T379I","ORF1a.T265I","ORF1a.L1556I","ORF1a.I2385T","ORF1a.G3072C","ORF1b.P314L","ORF1b.L1218I","ORF1b.L1681F","ORF3a.Q57H","S.D614G","N.S193N","ORF1a.I1301V","ORF1a.L3606F"
"B.1.325","USA","2020-06-24",1,1,1,1,1,1,1,1,1,1,0,0,0
"B.1.325","USA","2020-06-13",1,1,1,0,1,1,1,1,1,1,1,0,0
"B.1.325","USA","2020-06-13",1,1,1,0,1,1,1,1,1,1,0,0,0
"B.1.325","USA","2020-06-13",1,1,1,0,1,1,1,1,1,1,0,0,0
"B.1.325","USA","2020-06-16",1,1,1,0,1,1,1,1,1,1,0,0,0
"B.1.325","USA","2020-06-15",1,1,1,0,1,1,1,1,1,1,0,0,0
"B.1.325","USA","2020-06-15",1,1,1,0,1,1,1,1,1,1,0,0,0
"B.1.325","USA","2020-06-13",1,1,1,0,1,1,1,1,1,1,1,0,0
"B.1.325","USA","2020-06-13",1,1,1,0,1,1,1,1,1,1,1,0,0
"B.1.325","USA","2020-06-15",1,1,1,0,1,1,1,1,1,1,0,1,1
"B.1.325","USA","2020-06-19",1,1,1,0,1,1,1,1,1,1,0,1,0
