"lineage","country","date","M.I82T","N.D63G","N.R203M","N.G215C","N.D377Y","ORF1a.A498V","ORF1a.A1306S","ORF1a.H1381Y","ORF1a.P2046L","ORF1a.P2287S","ORF1a.V2930L","ORF1a.T3255I","ORF1a.T3646A","ORF1b.P314L","ORF1b.G662S","ORF1b.P1000L","ORF1b.A1918V","ORF1b.T2165M","ORF1b.T2453I","ORF3a.S26L","ORF7a.T120I","ORF7b.T40I","ORF8.R52I","ORF9b.T60A","S.T19R","S.R158G","S.N440K","S.L452R","S.T478K","S.D614G","S.P681R","S.D950N","N.P151L","ORF1a.E87D","ORF1a.G963C","ORF1b.M115I","ORF1b.A941T","ORF7a.V82A","S.G142D","S.L513F","ORF1b.V1271L","ORF3a.S205N","ORF1a.A3571V","ORF1b.T701I","ORF1b.H1087Y","ORF3a.A54S","M.I82P","N.A252V","ORF1a.P1977L","ORF1a.V3718F","ORF1b.R2613C","S.E96V","N.T296I","ORF1a.P1207H","ORF1a.S2493I","ORF1a.T2648I","S.I128V","M.I201V","N.A336V","ORF1a.M315I","ORF1b.V691I","ORF8.S67F","M.M109T","S.Q52H","S.G181V","ORF1a.V774F","ORF1a.I3619V","ORF7a.C35F","ORF7a.N43T","ORF8.G8E","ORF1a.S1195R","ORF1a.P2079L","ORF1b.D729Y","ORF1b.S1089L","ORF1b.Y1885C","ORF3a.I63T","ORF7a.K72R","ORF1a.S2103F","ORF1b.T2134I","ORF1b.K2557R","N.R195I","N.T271I","ORF1a.Q63L","ORF1a.M3627I","S.M153I","S.A899S","S.T1117I","ORF1a.T1597I","ORF1a.A2909V","ORF1a.K3353R","ORF3a.A98T","ORF7a.H47Y","ORF1a.T3579I","ORF1b.A1428V","N.A208S","ORF1a.G519S","ORF1a.A2123V","ORF1a.T3058I","ORF1b.T284I","ORF1b.S1661I","ORF8.E106.","ORF1a.T340I","ORF1b.P976S","ORF1b.P1666S","S.T572I","ORF1a.S2488F","ORF3a.V112F","ORF9b.T83I","S.V1264L","N.Q163R","N.H300Y","ORF1a.P1213L","ORF1b.T310I","ORF1b.T1774I","ORF3a.C200R","S.L5F","ORF1a.F1028V","N.R191L","ORF1a.V1888F","ORF1b.V1706L","ORF1b.D2067Y","ORF3a.D155Y","S.R214L","ORF3a.T151I","ORF1a.K1202E","ORF1a.P1207L","ORF1a.T4304I","ORF1a.V4372I","ORF1b.R2308C","ORF7a.A8T","S.W258L","ORF1a.E37D","S.A411S","S.L452Q","ORF1a.L2969I","ORF1b.A2222S","ORF3a.A143V","S.Q613H","S.I1210V","ORF1a.H2092Y","ORF1a.L3483F","ORF1b.P314F","ORF3a.E241K","ORF1a.L1562M","ORF1a.R2949C","S.S477I","S.T95I","ORF1a.R232S","ORF1b.I2509V","ORF1b.L505I","ORF1b.H2583Y","ORF1a.F263S","ORF1a.Q4151H","ORF7a.C58F","ORF7a.A79D","ORF1a.E289G","ORF1a.A4396V","ORF1b.K82R","ORF1b.I1257V","ORF1b.A1643V","S.G1167V","S.I714L","S.V1104L","ORF1a.E932D","ORF1a.T999I","ORF1a.P2685T","ORF3a.K16N","ORF7a.A50S","ORF1a.S3001G","ORF1b.V1649F","S.G446V","S.E1202Q","ORF1a.T554I","ORF1a.M1312T","ORF1a.S1476A","ORF1a.V1565A","ORF1a.M3934I","ORF1b.S1446A","S.H69Y","ORF1a.D571Y","ORF1a.V2996I","ORF1a.M3539L","ORF1b.I1755M","ORF1b.Q2556R","ORF8.L60V","S.S929I","N.D399Y","ORF1b.T335N","ORF1a.M2254V","ORF1b.K94R","ORF1b.P2074S","S.D80Y","S.A924S","S.K1191N","N.S79G","ORF1a.S538L","ORF7a..122L","ORF7b.M1I","S.P251L","N.G34W","ORF1a.Q990L","ORF1a.G1294S","ORF1a.S2839N","ORF1a.P3613S","ORF1a.I3731V","N.T362I","ORF1a.A117S","ORF1b.L2053I","ORF7a.M1V","ORF7a.E22D","ORF7a.I110T","S.G181R","S.H1101Y","ORF1a.Q2574H","S.T724I","M.L29F","ORF1a.A1283V","ORF1a.P1640L","ORF1a.L2609F","ORF1b.E1184D","ORF1b.A1877S","ORF1b.T2432I","ORF1a.V410A","ORF1b.Q2635H","ORF7a.V71I","M.A85S","ORF1a.S216Y","ORF1a.E961Q","ORF1a.A3686V","ORF3a.L94F","ORF9b.P3L","S.A623V","S.P1162S","ORF1a.Y1039H","ORF1a.L3352F","ORF1a.V3975F","ORF1b.T1137I","ORF3a.H78Y","ORF3a.E239Q","ORF1a.T1638I","ORF1a.T1754I","ORF3a.D210A","S.V70I","ORF1a.D194H","ORF1a.E640D","ORF1a.T1567I","ORF1a.Q3777R","ORF3a.P25L","ORF3a.A33S","ORF1a.N2147S","ORF1b.N2250D","ORF1b.I2356V","M.D209Y","ORF1a.L450F","ORF1a.F4089I","ORF7a.G38V","S.C1235F","ORF1a.E1013D","ORF3a.A99V","ORF1a.S549F","ORF1b.V658I","ORF1b.A1847S","ORF3a.T175I","ORF1a.I2712V","S.D1163Y","N.Q244L","ORF1a.A687V","ORF1a.R4179K","ORF1b.L2213F","S.C1247F","ORF1a.L815F","N.S327L","N.T379I","ORF1a.S3075N","ORF1a.D1933N","ORF1b.A1884V","M.I52T","ORF1a.I4049V","ORF3a.T34M","ORF3a.G44R","S.S112L","ORF1a.S1872N","ORF1a.L4182F","ORF1b.D260G","ORF1b.A2131V"
"AY.79","Bahrain","2021-12-01",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.79","United Kingdom","2021-09-20",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.79","United Kingdom","2021-07-14",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.79","United Kingdom","2021-10-07",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.79","United Kingdom","2021-11-04",0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.79","United Kingdom","2021-11-23",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.79","Myanmar","2021-11-24",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.79","Malaysia","2022-01-06",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.79","Malaysia","2022-01-06",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.79","Malaysia","2021-12-22",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
