"lineage","country","date","N.R203K","N.G204R","ORF1a.T170I","ORF1a.E2031K","ORF1b.A176V","ORF1b.P314L","ORF3a.L52I","ORF6.H3D","S.Q414K","S.D614G","ORF1a.P2046L","ORF1b.P2531S","ORF3a.S40L","ORF1a.A372T","ORF1b.D2179Y","S.H655Y","S.K1073R","ORF1a.H3509Y","ORF1b.K2085R","ORF1a.I2107V","ORF1a.T2283I","ORF1a.A2909V","ORF1b.E1601D","ORF1b.V1841A"
"B.1.1.98","Germany","2021-01-20",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-27",1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-27",1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-29",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-29",1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-27",1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-29",1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-13",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-28",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-28",1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-29",1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-28",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-20",1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-20",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-20",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-20",1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-20",0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-19",1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-20",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-20",1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-05-14",1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-19",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"B.1.1.98","USA","2020-04-30",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-05-11",1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-04-25",1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
"B.1.1.98","USA","2020-05-06",1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"B.1.1.98","USA","2020-07-04",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1
"B.1.1.98","USA","2020-07-08",1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1
