"lineage","country","date","N.R203K","N.G204R","ORF1a.P927L","ORF1a.A1812D","ORF1a.T3308I","ORF1b.S106A","ORF1b.P314L","ORF7a.R118I","S.D614G","ORF1a.G2251C","ORF8.L57F","S.L513F","N.A155V","ORF1a.A690V","ORF1a.I2076V","ORF1a.G993S","ORF1a.A2891V","ORF1a.G697R","ORF1a.S1102G","ORF1a.L3606F","ORF6.E13D","ORF1a.G133C","ORF1a.S3244L","ORF1b.H590Y","ORF1b.P1936S"
"AE.4","Bahrain","2020-10-11",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-10-13",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-10-13",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-10-14",1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-10-14",1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-10-14",1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-10-14",1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-11-10",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-11-21",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-11-12",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-11-16",1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-11-16",1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2021-02-21",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2021-02-25",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"AE.4","Bahrain","2020-10-13",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AE.4","Bahrain","2020-06-23",1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
