"lineage","country","date","N.A220V","ORF1a.H374Y","ORF1b.P314L","ORF1b.T2488M","ORF7b.E3.","S.A222V","S.D614G","ORF1b.S961L","ORF7a.H47Y","ORF1b.V2236A","ORF1b.K2557R","ORF8.A65S","N.D144H","ORF1a.A3907T","N.D81G","ORF9b.M78V","S.A522V","ORF8.P38S","S.L5F","N.T325I","ORF1a.T350I","ORF3a.T175I","ORF9b.A22V","S.A260S","N.P67L","ORF1b.R2613C","ORF9b.L64F","S.A1070V","S.F338L","N.P326L","ORF3a.L94F","ORF1a.T592P","ORF7a.S36P","ORF1a.D156A","N.E253D","N.I292T","ORF1a.E148D","ORF1b.A1949V","S.A879V","ORF1a.S2030L","ORF8.A55V","N.A251V","ORF7a.H47N","ORF3a.G100C","S.M1237I","S.P26L","ORF1a.P4261S","ORF1a.H3076P","ORF1a.L3606F","ORF1a.N1026I","ORF1a.T3905A","S.A845V","ORF1a.T824I","S.N17D","S.T240I","ORF1a.E2653G","ORF1a.N1436D","ORF1b.T1354I"
"B.1.177.51","United Kingdom","2020-11-22",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.51","United Kingdom","2020-12-12",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.51","United Kingdom","2020-12-19",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.51","United Kingdom","2020-12-19",1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.51","United Kingdom","2020-12-19",1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.51","United Kingdom","2020-12-19",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.51","United Kingdom","2021-01-20",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.51","United Kingdom","2020-11-05",1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.51","United Kingdom","2020-11-05",1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.51","United Kingdom","2020-11-05",1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.51","United Kingdom","2021-01-31",1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
