"lineage","country","date","M.V23L","N.R203K","N.G204R","N.S416L","ORF1a.G112S","ORF1a.W630R","ORF1b.P314L","S.D614G","ORF1a.A3456V","ORF1a.A2636T","ORF1b.N1025S","ORF1a.R232L","ORF1b.T2533I","ORF1a.T3462I","N.R41Q","ORF9b.G38S"
"B.1.1.213","United Kingdom","2020-06-23",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-06-30",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-06-24",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-06-24",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-06-24",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-06-15",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-06-13",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-06-15",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-17",1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-22",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-25",1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-03-30",0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-03",1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-05",1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-06",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-10",0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0
"B.1.1.213","United Kingdom","2020-04-10",0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-12",0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-14",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-15",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-04-16",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-07-15",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-06-04",1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0
"B.1.1.213","United Kingdom","2020-07-04",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-07-21",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"B.1.1.213","United Kingdom","2020-07-11",1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
"B.1.1.213","United Kingdom","2020-07-16",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
