"lineage","country","date","N.P13L","N.A119P","N.R203K","N.G204R","N.G214C","ORF1a.T1246I","ORF1a.P2287S","ORF1a.F2387V","ORF1a.L3201P","ORF1a.T3255I","ORF1a.G3278S","ORF1b.P314L","ORF1b.V1649F","ORF3a.A110S","ORF9b.P10S","S.G75V","S.T76I","S.L452Q","S.F490S","S.D614G","S.T859N","S.D253N","S.L5F","N.T366I","ORF1a.T2174I","ORF1a.S944L","ORF1a.T1035I","ORF1a.V3917G","ORF7a.I3V","ORF7a.Q90.","ORF1a.L3606F","ORF1b.T1522I","E.T9I","ORF8.A51S","S.I714V","ORF9b.P51L","S.Q675H","ORF8.I121L","ORF1a.T1822I","N.R191L","ORF1a.T708I","S.A262S","ORF3a.T89I","S.F157L","ORF3a.R68K","N.P13F","S.E471Q","ORF1a.M1014I","S.S640F","ORF1a.S2024L","S.A879S","ORF7a.I3T","ORF3a.T32I","ORF7b.A43V","ORF1a.G442V","ORF1a.P2739L","ORF1a.C3766R","ORF1a.M1378I","ORF1a.P1692S","ORF1a.N2539S","ORF6.D61L","E.L65M","ORF1b.E867A","ORF8.R115C","ORF6.E54.","S.G72E","M.I82V","N.V350A","ORF1b.P1287S","ORF1a.I222V","ORF1a.M2169T","ORF1b.P1001S","ORF7b.L18V","ORF8.F120L","ORF1b.T1019A","ORF1a.A2355S","ORF1a.T1854I","S.D138H","E.V62F","ORF1a.G3676S","ORF1a.F3677L","ORF8.F120V","ORF7a.P99S","ORF1a.I95V","ORF1b.V579L","ORF1b.T2432I","ORF7a.L5F","ORF8.V117F","ORF1a.A2696V","ORF1b.A520V","ORF8.H28L","ORF3a.A54V","ORF8.V62L","ORF1a.V439I","ORF8.P36L","ORF8.G66D","E.P71L","ORF3a.P240L","ORF1a.S479F","ORF1a.I3512V","ORF1a.A3686V","ORF1a.G2294S","S.L242F","ORF1a.A498V","ORF1a.P4197S","ORF1b.S1003G","ORF7a.T120I","ORF1a.E159A","ORF1a.I1276T","ORF6.T10I","S.Q677H","N.P168T","ORF1a.A4396V","ORF7a.A105V","ORF1a.P1921L","S.K444R","S.P521R","S.V289L","ORF1a.P80H","ORF1a.S2022L","ORF1b.L2017F","ORF1b.D2270Y","S.A1020S","ORF1b.S2688C","ORF1b.S2689R","ORF1b.D2690S"
"C.37","Argentina","2021-06-14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.37","Chile","2021-08-06",1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.37","Chile","2021-08-06",1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.37","Germany","2021-06-17",1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.37","United Kingdom","2021-02-23",1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.37","United Kingdom","2021-03-04",1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.37","United Kingdom","2021-03-30",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.37","United Kingdom","2021-05-06",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.37","United Kingdom","2021-06-07",1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.37","United Kingdom","2021-06-18",1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
