"lineage","country","date","ORF1a.T1168I","ORF8.L84S","S.A829T","E.V5A","ORF1a.H1108Y","ORF1a.L1375F","ORF1b.V2223L","ORF1a.K2200N","ORF1a.A3469P","ORF7b.C41F","ORF1a.T4355I"
"A.6","Hong Kong","2020-03-18",1,1,1,0,0,0,0,0,0,0,0
"A.6","Cambodia","2020-03-21",0,1,1,1,1,1,1,0,0,0,0
"A.6","Thailand","2020-02-25",0,1,1,0,0,1,0,0,0,0,0
"A.6","Thailand","2020-01-25",0,1,0,0,0,1,0,0,0,0,0
"A.6","Thailand","2020-02-22",0,1,1,0,0,1,1,0,0,0,0
"A.6","Thailand","2020-02-25",0,1,1,0,0,1,1,1,1,0,0
"A.6","Thailand","2020-01-23",0,1,1,0,0,1,1,0,0,0,0
"A.6","Thailand","2020-03-12",0,1,1,0,0,1,1,0,0,0,0
"A.6","Thailand","2020-03-16",1,1,1,0,0,1,1,0,0,1,0
"A.6","Thailand","2020-03-18",0,1,1,0,0,1,1,0,0,1,1
"A.6","Thailand","2020-03-01",0,1,1,0,0,1,1,0,0,1,0
"A.6","Thailand","2020-03-19",0,1,1,0,0,1,1,0,0,1,0
"A.6","Thailand","2020-03-20",0,1,1,0,0,1,1,0,0,1,0
