"lineage","country","date","N.S194L","ORF1a.V561A","ORF1a.V1056L","ORF1a.A1997V","ORF1b.P314L","ORF3a.Q57H","ORF3a.T223I","S.T470N","S.D614G","ORF1a.A1397V","ORF3a.A110V","ORF1b.T1545A","ORF1a.A3645V","N.R14C","ORF1a.M3280V","S.M177V","ORF3a.P240S","ORF1b.D1572N","N.K248N","ORF1a.T4304I","ORF1b.L2193P"
"B.1.36.27","Hong Kong","2021",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020-10-06",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020-10-07",1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2020",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2021",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.27","Hong Kong","2021",1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
