"lineage","country","date","M.I82T","N.R203K","N.G204R","N.G212C","ORF1a.N449D","ORF1a.M902V","ORF1a.R2115I","ORF1a.P2605S","ORF1a.V3566I","ORF1a.V3653F","ORF1a.T4364I","ORF1b.S220N","ORF1b.P314L","ORF1b.P1000L","ORF1b.L1378M","ORF3a.S171L","ORF3a.V201F","S.F306L","S.E484K","S.S494P","S.D614G","S.E780A","S.D839V","S.T1027I","ORF1a.Y4080H","ORF1a.S2193Y","ORF1a.N1335S","ORF1a.T3150A","ORF1a.A3220V","ORF3a.R68I","ORF7a.I10V","ORF1b.D2429A","ORF1b.D51A","S.V1122L","E.V49L","ORF1a.T1597I","ORF1b.M1573I","ORF3a.D27Y","ORF1a.P371S","ORF1a.A964V","ORF1b.H1550Y","M.A2V","ORF1a.A1298V","E.S55F","ORF1b.T794I","ORF3a.Q185H","ORF1a.T1822I","ORF3a.L73I","ORF7b.S31P","S.P1263L","N.G179C","ORF1a.E2K","ORF1a.L3027F","ORF1b.P1452L","ORF1a.K2589R","ORF1a.L3606F","ORF1a.P804S","ORF1b.V248F","ORF1b.G1450R","ORF3a.T89I","N.S78I","N.S202C","ORF1a.S2285F","ORF1b.E2390Q","ORF9b.A75S","ORF1a.G3546S","ORF1b.H1213Y","ORF1a.H2092Y","ORF1a.T2274I","ORF1b.P1427S","S.E780S","N.T334I","ORF1b.Q813H","ORF1b.S1273L","S.N211K","ORF1a.I281T","ORF1a.M85V","ORF1a.T2016I","E.T11A","ORF1b.A2028S","S.A892V","S.K1191N","ORF1a.A2554V","ORF1a.T4175I","ORF1a.S4398L","ORF1b.Y512C","ORF7b.L4F","ORF1a.D48E","ORF7a.S83L","ORF7a.V93F","ORF1a.A486V","ORF8.V62L","ORF1a.M3627I","ORF1b.D2270Y","ORF1a.P1096S","ORF1b.P314F","ORF3a.W45R","S.G446V","ORF1a.L2179F","ORF1a.H2698R","ORF1a.D152G","ORF1b.T1050I","ORF1b.P1727L","ORF1b.T2040I","S.I1114T","ORF1a.G298S","ORF1a.V2252G","ORF1a.K2511N","ORF1a.T4249I","ORF7b.T40I","N.R203M","N.A211V","N.D377Y","ORF1a.H81Y","ORF1b.L236V","S.D138Y","S.V622F","ORF1a.L3915F","S.N1074K","ORF1a.I2075V","ORF1a.G59S","S.D830Y","ORF1b.M1359I","ORF1a.P2685T","ORF1a.R3802C","ORF3a.K21N","S.T124I","ORF1a.T4265I","ORF1b.V2117L","E.A41V","M.I82S","N.P80R","ORF1a.R3164H","ORF1a.T3255I","ORF1b.H1087Y","ORF1b.E1288D","ORF9b.Q77E","S.H66Q","S.A67T","S.W152L","S.R158S","S.R346K","S.T478K","S.P681H","S.D796Y","N.Q306L","ORF1a.H4301Y","ORF1b.H604Y","ORF1a.T1754I","ORF8.I74F","N.S33I","ORF1a.W630C","ORF1a.C655F","ORF9b.V30L","E.S68F"
"B.1.1.523","Denmark","2021-06-27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.523","Denmark","2021-06-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.523","Denmark","2021-06-27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.523","Denmark","2021-06-29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.523","Denmark","2021-06-30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.523","United Kingdom","2021-04-14",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.523","United Kingdom","2021-04-19",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.523","United Kingdom","2021-05-20",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.523","Estonia","2021-03-27",1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.523","Germany","2021-03-16",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
