"lineage","country","date","N.A220V","ORF1a.P2260L","ORF1b.P314L","ORF3a.T64I","ORF3a.S180A","S.L18F","S.G181V","S.A222V","S.D614G","ORF3a.I63T","ORF7b.S31L","S.A701V","ORF1a.A555V","ORF1b.K1571N","ORF1a.A1156V","ORF3a.V55F","N.D144H","ORF1a.T1597I","ORF9b.T83I","ORF1a.G334S","ORF1a.A3620V","ORF1b.S1023G","ORF1a.P1692S","ORF3a.G254I","S.Y269H","N.G243C","ORF1a.K322R","ORF1a.T2124I","S.A771S","ORF1b.P1570S","ORF1a.M3280I","ORF8.Q23R","ORF1a.A1938S","ORF1a.T2283I","S.K150N","ORF1b.I2147M","ORF1b.M1677I","ORF1a.N1123D","ORF6.H3D","ORF8.V32L","ORF9b.T84I","ORF1b.P85L","ORF1a.D448G","ORF1a.L3606F","ORF1a.A1298V","ORF3a.L41P","ORF7a.K32N","ORF1a.V111L","ORF1a.P892S","ORF1a.T265A","ORF3a.G224C","ORF1a.Y369C","ORF1a.I4061M","ORF1a.T4129I"
"B.1.177.58","United Kingdom","2021-01-12",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.58","United Kingdom","2021-01-12",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.58","United Kingdom","2021-01-12",1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.58","United Kingdom","2021-01-12",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.58","United Kingdom","2021-01-12",1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.58","United Kingdom","2021-01-12",1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.58","United Kingdom","2021-01-12",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.58","United Kingdom","2021-01-12",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.58","United Kingdom","2021-01-12",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.177.58","United Kingdom","2021-01-13",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
