"lineage","country","date","ORF1b.P314L","ORF1b.D1292G","ORF3a.V13L","S.D614G","N.P6L","ORF9b.P3S","ORF1a.T2846I"
"B.1.557","United Kingdom","2020-05-02",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-04-19",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-04-16",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-04-08",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-04-06",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-04-15",1,1,1,1,1,1,0
"B.1.557","United Kingdom","2020-04-11",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-04-11",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-04-22",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-04-22",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-04-24",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-04-25",1,1,1,1,0,0,0
"B.1.557","United Kingdom","2020-05-09",1,1,1,1,0,0,1
"B.1.557","United Kingdom","2020-04-23",1,1,1,1,0,0,0
