"lineage","country","date","N.S194L","ORF1a.L1191M","ORF1a.E1413D","ORF1b.P314L","ORF1b.A414V","ORF3a.Q57H","S.L518I","S.D614G","ORF1a.K247N","S.P681H","ORF1a.R398C","ORF1a.Q2034H","ORF7a.V104F","ORF1a.S302F","S.Y204F","ORF1a.R3574G","ORF1a.Q4015H","ORF3a.L52F","S.K1191N","ORF1a.S3344F","ORF8.I121L","S.P681R","M.V23L","ORF1a.Q563H","ORF1a.M3752I","ORF1a.T1945N","ORF1a.K2497Y","ORF1a.I4049V","ORF3a.T223I","ORF7b.V21G","S.T323I","ORF1a.Q676H","ORF1a.D147N","ORF1a.A427V","ORF1a.V3759G","ORF8.S67F","S.G842D","ORF1a.A859V","ORF1b.H604Y","ORF1b.A1219S","ORF1b.M2322I","ORF3a.L15F","S.T572I","ORF1a.P1220S","ORF1b.A2222S","S.S477N","S.L54F","ORF1a.E633D","S.H1083Q","ORF1b.V2178F","ORF1a.F1190V","S.P812L","S.A701T","ORF1b.V345A","S.L7S","M.S214R","ORF1a.S1189R","ORF1a.I1203N","ORF8.D34G","ORF1a.S1733G","ORF1b.D2472N","ORF7b.A43T","N.Q409L","ORF1a.P2046L","ORF1a.L3606F","ORF1a.P1054L","ORF1a.T1854I","S.L5F","ORF8.E64.","M.L29F","ORF1b.V871I","S.E583D","S.P809S","ORF3a.S171L","ORF1a.I3731T","ORF1b.P1664S","ORF1b.E269D","ORF3a.D155Y","S.A706S","S.C1243F","ORF1a.T1874I","M.A142V","ORF1a.V3759F","ORF1a.A1283V","S.W152L","ORF1b.H1087Y","ORF1a.T1055I","N.A156S","S.Q677H","N.G97S","ORF1a.D33N","ORF1a.H2357Y","S.Q690H","ORF1b.T1896I","S.A688V","ORF1a.G519S","ORF1a.G3072C","S.S12F","ORF1a.L2084I","S.E484Q","ORF1a.S2103F","ORF1a.P3395L","ORF1a.D930Y","ORF1b.Y2276C","ORF7a.T120I","ORF1a.P1596S","ORF1a.M2259I","ORF1a.S2500F","ORF1a.R3542C","ORF1b.I441V","ORF8.A65V","ORF1b.P1342S","N.K374N","ORF1a.T224I","ORF1b.D2270Y","N.A119S","S.R1091L","ORF1a.T609I","ORF1a.D1228G","S.L1063F","ORF1a.S944L","ORF1a.N3937S","ORF7a.L96F","S.M1050I","N.D128Y","ORF3a.D173G","ORF7a.H73Y","S.E132D","S.F186V","S.D936N","ORF1a.V3718A","ORF1a.L3951F","ORF3a.P42S","ORF9b.R32H","S.Q675H","ORF1b.T2084I","N.D377Y","ORF1a.A565V","ORF1a.A2745V","ORF3a.L65F","ORF1a.E1633D","ORF1a.K3360R","ORF1a.Y3722C","ORF1b.M1677I","ORF7a.V93F","ORF9b.G38V","S.L18F","N.R209K","ORF1a.S2535L","ORF3a.D155N","ORF1a.P927L","ORF1a.T1840I","ORF1a.T2264I","ORF1a.N2628Y","S.E96D","S.L189F","N.T135I","ORF1a.N869D","ORF1a.A1049V","ORF1a.T1496I","ORF1a.T2087I","ORF1a.L3674M","S.S71F","S.V143F","ORF1a.P309S","ORF1a.V561A","ORF1a.L2956I","ORF1a.A4016V","ORF3a.L106F","ORF1b.T1522I","ORF1a.A3270V","E.S6L","N.G5E","ORF9b.D2N","S.Y144D","ORF1b.S511N","ORF1b.P1005S","ORF1b.A1443V","ORF1b.Q2070H","ORF1b.G2180V","ORF1b.S2198C","ORF3a.S166L","ORF3a.Q185H","ORF8.L84S","S.Q690R","S.V227L","N.P383L","ORF1b.K2160N","ORF1b.M2414I","ORF8.E19.","ORF1a.L730F","ORF1b.D1506G","ORF3a.G100D","ORF1a.N1871T","ORF1a.S1952L","ORF1a.T2152I"
"B.1.36.8","Bangladesh","2020-06-18",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.8","Bangladesh","2020-06-16",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.8","Bangladesh","2020-06-24",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.8","Bangladesh","2020-07-15",1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.8","Bangladesh","2020-11-23",1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.8","Bangladesh","2020-06-28",1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.8","Bangladesh","2020-06-11",1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.8","Bangladesh","2020-06-30",1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.8","Bangladesh","2020-06-30",1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.36.8","Bangladesh","2020-07-13",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
