"lineages","V2"
"AY.4",543301
"B.1.1.7",473167
"BA.1",303214
"BA.1.1",227506
"AY.103",196392
"AY.44",165619
"AY.3",102588
"AY.25",88892
"AY.43",79374
"AY.122",63723
"AY.4.2",57903
"AY.100",53520
"B.1.2",52403
"AY.25.1",51563
"B.1.617.2",44229
"AY.5",30403
"B.1.177",29728
"AY.98",29216
"AY.47",27811
"AY.39",27635
"B.1.526",27234
"B.1",25839
"AY.26",25283
"AY.119",25106
"B.1.429",21636
"AY.120",20452
"AY.4.2.2",20285
"AY.6",18709
"None",14356
"AY.118",14012
"AY.75",13816
"AY.126",13803
"AY.20",13778
"AY.4.2.1",12737
"B.1.1",11812
"P.1",11462
"AY.9.2",11421
"AY.46.6",11413
"D.2",10686
"B.1.1.519",10609
"AY.121",10596
"AY.117",10180
"AY.46",10048
"AY.3.1",9769
"AY.125",9668
"B.1.427",9658
"AY.9",9476
"AY.14",9236
"AY.98.1",8676
"B.1.637",8334
"AY.119.2",7965
"AY.54",7958
"AY.42",7565
"BA.2",6829
"AY.129",6494
"AY.127",6127
"AY.39.1",5924
"AY.113",5895
"B.1.351",5691
"AY.36",5583
"B.1.243",5525
"AY.102",5296
"AY.111",5141
"AY.33",5034
"B.1.160",4941
"AY.7.1",4794
"AY.4.6",4769
"Q.3",4640
"B.1.258",4425
"AY.13",4137
"AY.34",4059
"AY.43.4",3967
"AY.7",3880
"AY.46.4",3779
"AY.114",3705
"AY.4.8",3342
"B.1.621",3210
"AY.112",3196
"AY.116.1",2993
"AY.110",2867
"B.1.1.37",2853
"AY.4.2.3",2849
"B.1.221",2839
"B.1.177.4",2824
"B",2804
"B.1.234",2727
"P.1.17",2712
"AD.2",2703
"AY.34.1",2686
"B.1.177.45",2417
"AY.120.1",2395
"P.1.10",2333
"AY.4.7",2317
"A.1",2267
"AY.107",2226
"Q.1",2197
"R.1",2186
"B.1.1.222",2170
"B.1.177.86",2162
"AY.46.5",2127
"AY.2",2089
"B.1.177.57",2077
"AY.41",2068
"B.1.525",2008
"B.1.177.81",1890
"B.1.575",1868
"AY.25.3",1802
"B.1.240",1754
"AY.4.5",1715
"AY.5.3",1684
"XB",1682
"AY.106",1597
"B.1.623",1596
"B.1.311",1582
"AY.124",1574
"B.1.1.311",1561
"B.1.177.44",1480
"AY.1",1437
"AY.67",1420
"AY.61",1415
"AY.37",1389
"B.1.595",1382
"AY.64",1364
"AY.90",1345
"B.1.36",1330
"AY.23",1327
"B.1.1.39",1326
"AY.43.6",1326
"B.1.596",1295
"B.1.1.307",1295
"AY.109",1250
"AY.8",1240
"B.1.1.318",1230
"B.1.400",1226
"B.1.369",1211
"B.1.517",1202
"AY.121.1",1191
"B.1.36.17",1166
"B.1.177.7",1163
"AY.62",1139
"AY.65",1110
"AY.4.9",1107
"B.1.1.317",1099
"AY.84",1079
"AY.46.1",1071
"C.37",1048
"B.1.561",1035
"AY.35",1028
"B.1.1.1",1000
"B.1.258.17",990
"AY.4.4",974
"B.1.1.291",970
"AY.29",960
"AY.10",954
"P.2",946
"AY.48",933
"AY.39.1.1",933
"AY.70",927
"B.1.160.16",915
"B.1.177.16",886
"AY.87",879
"B.1.1.63",855
"B.1.621.1",850
"B.1.232",813
"B.1.371",802
"B.1.177.87",792
"AY.74",789
"B.1.1.70",784
"AY.51",780
"AY.57",772
"B.1.609",769
"B.1.1.369",760
"B.1.617.1",746
"AY.46.2",745
"B.1.177.17",745
"C.36.3",731
"AY.45",731
"AY.5.4",720
"AY.16",719
"B.1.564",717
"B.40",710
"AY.92",710
"B.1.110.3",708
"AY.105",707
"AY.3.3",694
"A",688
"Q.4",666
"B.1.1.434",665
"P.1.13",662
"B.1.177.10",640
"B.1.177.56",636
"B.1.1.301",635
"AY.68",634
"B.1.177.54",634
"B.1.177.8",628
"B.1.426",624
"B.1.375",621
"AY.4.10",609
"AY.32",603
"AY.11",591
"AY.4.1",589
"B.1.1.316",589
"AY.52",584
"B.1.1.279",572
"B.1.241",554
"B.1.1.372",553
"BB.2",546
"A.2.5",540
"B.1.177.62",535
