"lineage","country","date","M.I82T","N.D63G","N.R203M","N.D377Y","ORF1a.P309L","ORF1a.P1640L","ORF1a.D2980N","ORF1a.F3138S","ORF1a.H3580Q","ORF1a.F3611S","ORF1b.P314L","ORF1b.F732L","ORF1b.K2310R","ORF3a.S26L","ORF7a.P34L","ORF7a.V82A","ORF7a.T120I","ORF9b.T60A","S.T19R","S.R158G","S.L452R","S.T478K","S.D614G","S.P681R","S.D950N","ORF1a.T346I","ORF1a.M2374I","ORF1a.A3209V","ORF1a.V3718A","ORF1a.T3750I","ORF1b.G662S","ORF1b.P1000L","ORF1b.T2432I","ORF1b.P2612L","ORF3a.S165F","S.G142D","S.A222V","ORF1a.T170I","ORF1a.D335G","ORF1a.Q2476H","ORF1a.P3504L","ORF1a.L3606F","ORF3a.S74F","ORF7a.E95.","ORF7a.E121.","S.T385S","N.R32H","ORF1a.A2080T","ORF1a.T2274I","ORF8.C20R","ORF9b.A29T","S.A475S","N.P142S","ORF1a.S308L","ORF1b.P103S","S.V308L","N.S412I","ORF1a.M3934I","ORF1b.A1643V","ORF1b.I2525V","ORF1a.A211V","ORF1a.A1923V","ORF1a.S2661F","ORF1a.V3170I","ORF1a.P3613S","ORF1b.Q215R","ORF1b.S2338L","ORF7a.I10T","ORF7a.L96F","S.D215H","S.W258R","ORF3a.T14I","S.A67V","ORF1a.I476V","ORF1b.S638I","ORF3a.A54V","ORF8.K68E","N.R41L","ORF1a.E36D","ORF1a.M902V","ORF1a.A3730V","ORF1b.P218L","ORF1b.K2063N","ORF9b.G38C","N.P6L","ORF1a.H388Y","ORF1a.S2015G","ORF1b.S1658F","ORF9b.P3S","ORF1a.G1155C","ORF1b.I97M","ORF1a.S4112R","ORF9b.R32P","M.L124I","ORF1a.G519S","ORF1a.L2062F","S.D88G","S.A892V","ORF1b.K82R","ORF1b.S1881N","ORF3a.D2Y","ORF3a.R30L","ORF3a.D155Y","N.I351L","ORF3a.A72V","S.V1228L","ORF8.E19.","S.K77T","S.T547I","ORF1a.K636R","ORF1a.A2355S","S.L5F","S.S1170F","N.G215C","ORF1a.P2287S","ORF1a.T3255I","ORF1b.R2613N","ORF7b.T40I","N.G18V","ORF1a.S428G","ORF1a.P1096S","ORF1a.E1633D","ORF9b.V15L","S.V289I","E.L21F","ORF1b.Y1176N","ORF1b.L2560F","ORF1a.N869K","ORF1a.T1542I","ORF1b.Y2018H","ORF3a.A54S","ORF6.Q56R","ORF1a.G192S","ORF1a.G2667D","ORF1a.T4066I","ORF1a.D1127Y","ORF1a.A1306S","ORF1a.G1308D","ORF1a.P2046L","ORF1a.V2930L","ORF1a.T3646A","ORF1a.I3731V","ORF1b.A576V","ORF1b.H1550Y","ORF1b.A1918V","ORF1a.A735V","ORF1b.V248F","ORF1b.V1149L","ORF1b.P1570L","ORF3a.V29L","ORF3a.G100C","ORF3a.P240S","ORF7a.L116F","ORF8.Q29L","S.Q493E","S.A522S","S.K854N","N.R185C","ORF7a.R80I","S.V193L","S.V1264L","M.S197N","N.A134V","ORF1a.P19R","ORF1a.V3467A","ORF1b.D146G","ORF3a.G224C","S.L216F","ORF1a.V108A","ORF1a.A1352V","ORF3a.L86F","S.C1248R","ORF1a.F70L","ORF1a.E2063D","ORF1b.E1184D","ORF1b.Q2425K","ORF7a.Q94.","S.Q613H","M.R44S","N.T16A","ORF1a.N2140K","ORF1b.F784C","ORF1b.S786L","ORF1b.E787R","ORF1b.A2143V","S.D574Y"
"AY.59","Bahrain","2021-07-23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.59","United Kingdom","2021-08-19",1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.59","Myanmar","2021-12-04",1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.59","Myanmar","2021-12-04",1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.59","Malaysia","2021-12-17",1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.59","Malaysia","2022-01-05",1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.59","Malaysia","2021-12-14",1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.59","Malaysia","2022-01-07",1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.59","Malaysia","2021-11-28",1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY.59","Malaysia","2021-11-28",1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
