"lineage","country","date","N.R203K","N.G204R","ORF1a.L2122F","ORF1b.P314L","ORF1b.M1156I","ORF1b.T2099I","ORF9b.R13L","S.D614G","S.H1159Y","S.I584V","M.C33S","ORF1a.N430D","ORF1a.A498V","ORF1a.A2375T","ORF1a.V3653F","ORF1b.V1811F","ORF3a.A33S","S.A626S","S.P812L","N.P168S","ORF1a.V757A","ORF1a.V879I","ORF1b.K1585R","ORF3a.G224C","S.F643I","ORF1a.T1022I","S.L5F","ORF1a.H2092Y","ORF1b.A676G","ORF1a.S538L","ORF1b.S2495L","ORF3a.L106F","ORF1a.M3498I","ORF1b.S638G","ORF3a.F87S","ORF3a.V112F","ORF1a.S2493G","ORF1a.T1241I","ORF7a.I3L","ORF1a.M2606T","ORF1a.A2123V","S.T95I","ORF1a.K2204N","ORF1b.P160S","ORF1b.P2321L","ORF1a.D1585N","ORF1b.R1813C","ORF1b.T267M","ORF1b.A1643V","ORF1a.T3058I","ORF1a.L3606F","ORF1a.T3749R","ORF1a.L642F","ORF1b.T67I","S.E1092K","ORF1a.M1769V","ORF1b.P1727L","ORF1a.K1230N","ORF1b.T1050I","S.E1262G","ORF3a.H78Y","S.P251L","S.N137I","ORF1a.P2144L","ORF1a.P2605S","ORF1a.V3976F","ORF1b.N1790S","S.A623V","N.T24I","N.P199S","ORF8.E106.","S.A222V","M.T77S","ORF1a.D324G","ORF1a.S838N","ORF1b.K1141R","ORF1b.E1184D","ORF1b.P2074L","ORF1b.G128V","ORF1b.T1038I","ORF3a.V237I","ORF7a.T27S","ORF1a.K2771T","ORF3a.T268M","S.A1078S","M.V10I","ORF1a.K680R","ORF1a.L3483F","ORF1b.T1363I","S.D138Y","ORF1a.L580F","M.H155Y","N.A267T","ORF1a.T1001I","ORF1a.C2210F","ORF1a.L360S","ORF1b.P1249L","ORF1b.S1552I","ORF3a.Y107H","ORF1a.V3892I","ORF1b.S638I"
"B.1.1.47","United Kingdom","2020-07-17",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.47","United Kingdom","2020-07-17",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.47","United Kingdom","2020-07-18",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.47","United Kingdom","2020-07-17",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.47","United Kingdom","2020-07-17",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.47","United Kingdom","2020-11-05",1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.47","United Kingdom","2020-11-13",1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.47","United Kingdom","2020-07-27",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.47","Hong Kong","2020",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.47","Hong Kong","2020",1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
