"lineage","country","date","N.R203K","N.G204R","N.P258S","ORF1b.P314L","ORF3a.G174C","S.D614G","ORF1a.A872V","ORF8.P38S","ORF9b.R32L","S.E96D","ORF1b.E735D","ORF1a.S944L","N.D371E","ORF1a.P1207L","ORF1a.K1763N","ORF1a.D3042N","ORF1a.P3504H","ORF1b.D152Y","ORF1b.P2434S","ORF7b.L17V","S.E96G","S.S477N","ORF1a.H388Y","ORF1b.S1003G","ORF1b.G2510V","M.S173K","S.S375P","ORF1a.D3681E","ORF1b.T1067I","ORF1b.L1088F","ORF1a.S2797F","ORF1a.G2265S","ORF7a.T120I","ORF1a.S1150L","M.V70F","ORF1b.A1369S","S.F79L","ORF1b.G328C","ORF3a.V50I","ORF1a.P1921S","ORF1a.T2016I","ORF1a.A3220V","ORF1a.T3579I","ORF1a.L149P","ORF1a.S279F","ORF1a.P959S","ORF1a.A1283V","ORF1a.V1750M","ORF1a.A2040V","ORF1a.A2554V","ORF1a.V2613L","ORF1b.T582I","ORF1b.M1397I","ORF3a.S171L","S.L5F","N.G34W","N.S180T","ORF1a.A2994V","ORF7b.L4F","N.D377Y","S.S937T","ORF1a.S2960F","N.P199S","N.P368S","N.D402Y","ORF1a.R207S","ORF1b.S2688C","ORF1b.S2689R","ORF1b.D2690S","S.P681H","ORF1a.T2319S","ORF1a.A2320Y","N.A35V","ORF9b.R32C","S.Y1047F","ORF1a.L3644F","ORF1b.P1645S","ORF8.C61F","S.E1207D","N.Q9H","ORF1b.P1223L","ORF9b.S6I"
"B.1.1.274","United Kingdom","2020-06-07",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-05-06",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-12-09",1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-12-09",1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-12-14",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-12-16",1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-04-18",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-04-17",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-04-18",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-04-20",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-04-18",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.274","United Kingdom","2020-04-20",1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
