"lineage","country","date","N.S194L","ORF1a.E1724D","ORF1a.K2067R","ORF1a.N2454I","ORF1b.P314L","ORF1b.T794N","ORF1b.Y1944.","ORF3a.K16N","ORF3a.D27Y","ORF3a.Q57H","ORF3a.L83F","S.L452R","S.E583D","S.D614G","N.A119S","ORF1a.P1158L","ORF1b.P1427S","S.P681R","N.D377Y","ORF1a.V3510I","ORF1a.I3142T","ORF1a.V28E","N.Q9H","ORF1a.P1010H","ORF1b.P1161S","ORF7b.E39.","ORF8.P30S","ORF9b.S6I","ORF7a.V74I","ORF1a.N447H","ORF1a.T1854I","ORF1a.R1464W","ORF3a.R68T","S.K1191N","ORF1a.T3058I","ORF1a.T1761I","S.G261D","N.S21L","N.P168L","N.R209I","ORF1a.S279F","ORF1a.S944L","ORF1a.C3059S","ORF1b.T2336I","ORF9b.Q18.","N.A12T","ORF1a.V1143F","ORF1a.V1299L","ORF1a.P1810S","ORF3a.L147F","ORF7b.A15S","ORF9b.M8I","S.L5F"
"B.1.1.334","Switzerland","2021-03-03",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.334","USA","2021-01-14",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.334","USA","2021-03-23",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.334","USA","2021-02-09",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.334","USA","2021-04-06",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.334","USA","2021-04-22",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.334","USA","2021-03-10",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.334","USA","2021-03-30",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.334","USA","2021-04-09",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.334","USA","2021-02-23",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.334","USA","2021-03-11",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
