"lineage","country","date","N.R203K","N.G204R","ORF1a.T1581M","ORF1b.P314L","ORF1b.A373T","ORF1b.T794I","S.S477R","S.D614G","S.S673T","ORF1a.M2036I","N.K374N","N.G30V","ORF1a.M1647I","ORF1a.E3909G","ORF9b.E27.","ORF1b.V2693L","ORF1a.T1844N","ORF1a.D935G","ORF1b.S1003G","ORF1b.L1351F","ORF1b.H1807Q","ORF1b.P2531S","S.A522V","ORF1a.M85V","ORF1a.K680N","ORF1a.P2046L","ORF1a.K3353R","ORF1a.A3686V","ORF3a.V163L","ORF9b.R32H","N.G25C","ORF1a.A3620V","ORF8.Q18.","S.G75D","ORF1a.Q1522K","ORF1a.P1786S","ORF1b.P976L","ORF3a.T223I","S.N679K","ORF1a.P1803S","ORF3a.I37T","ORF8.E106Q","S.T29I","ORF3a.A31S","ORF1b.P2256S","N.M234I","ORF1a.A3209V","ORF1b.L1504F","ORF9b.R32P","ORF1a.P1213L","ORF3a.H78Y","ORF1b.A1432V"
"B.1.1.433","United Kingdom","2020-08-18",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.433","United Kingdom","2020-08-18",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.433","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.433","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.433","United Kingdom","2020-08-20",1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.433","United Kingdom","2020-08-26",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.433","United Kingdom","2020-08-29",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.433","United Kingdom","2020-08-31",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.433","United Kingdom","2020-09-01",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.433","United Kingdom","2020-09-05",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
