"lineage","country","date","M.H125Y","N.T247I","ORF1b.P314L","S.D614G","ORF1a.N1917K","S.L5F","N.R191C","ORF7a.V29L","NA.","ORF1b.D2087A","ORF1b.E2355A","ORF3a.W69L"
"B.1.220","France","2020-03",1,1,1,1,0,0,0,0,0,0,0,0
"B.1.220","France","2020-03",0,0,1,1,1,1,0,0,0,0,0,0
"B.1.220","Ghana","2020-03-25",0,0,1,1,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-03-26",0,0,1,0,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-03-31",0,0,1,1,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020-04-01",0,0,1,1,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020-04-02",0,0,1,0,0,0,1,1,0,0,0,0
"B.1.220","Netherlands","2020-04-04",0,0,1,0,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-04-06",0,0,1,1,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020-04-08",0,0,1,0,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-04-09",0,0,1,0,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020",0,0,1,0,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020-04-10",0,0,1,0,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-04-13",0,0,1,0,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-04-21",0,0,1,0,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020-05-07",0,0,1,0,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-04-05",0,0,1,1,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-05-05",0,0,0,0,0,0,0,0,1,0,0,0
"B.1.220","Netherlands","2020-03-31",0,0,1,0,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020-04-24",0,0,1,1,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020-05-07",0,0,1,0,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-05-14",0,0,1,0,0,0,0,0,0,1,0,0
"B.1.220","Netherlands","2020-05-14",0,0,1,0,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-04-16",0,0,0,1,0,0,0,0,0,0,0,0
"B.1.220","Netherlands","2020-04-03",0,0,0,0,0,0,0,0,0,0,1,0
"B.1.220","Netherlands","2020-04-23",0,0,1,1,0,0,1,0,0,0,0,1
"B.1.220","Netherlands","2020-04-28",0,0,1,0,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020-04-28",0,0,1,0,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020-04-28",0,0,1,0,0,0,1,0,0,0,0,0
"B.1.220","Netherlands","2020-03-23",0,0,1,0,0,0,0,0,0,0,0,0
"B.1.220","United Kingdom","2020-04-07",0,0,1,1,0,0,1,0,0,0,0,0
"B.1.220","Switzerland","2020-03-16",0,0,1,1,0,0,1,0,0,0,0,0
