"lineage","country","date","ORF1a.D1547Y","ORF1a.M1647I","ORF1b.P314L","S.D614G","S.T859I","S.P1263L","N.A119S","S.T941I","ORF1b.D1869G","ORF8.G96C","ORF1a.T812I","ORF1a.S2132G","ORF1a.H435Y","ORF1a.T1840I","ORF1a.K1901R","ORF3a.I118V","S.R682W","ORF3a.V88L"
"B.1.552","Iceland","2020-04-04",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-05",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-02",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-01",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-01",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-01",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-09",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-03-30",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-03-30",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-02",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-03-30",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-03-31",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-03",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-03",1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-04",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-03",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-04",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-04",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-04",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-05",1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"B.1.552","USA","2020-04-02",1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"B.1.552","USA","2020-04-08",1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
"B.1.552","USA","2020-04-02",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-02",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-02",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-17",1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"B.1.552","USA","2020-04-02",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-02",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.552","USA","2020-04-07",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"B.1.552","USA","2020-04-09",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"B.1.552","USA","2020-04-08",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
