"lineage","country","date","N.P80R","N.R203K","N.G204R","ORF1a.K399R","ORF1a.S1188L","ORF1a.K1557R","ORF1a.K1795Q","ORF1a.A2785S","ORF1b.P314L","ORF1b.E1264D","ORF3a.S166L","ORF3a.S253P","ORF7a.V93F","ORF8.E19.","ORF8.E92K","ORF9b.Q77E","S.L18F","S.T20N","S.P26S","S.D138Y","S.R190S","S.K417T","S.E484K","S.N501Y","S.D614G","S.H655Y","S.P681H","S.T1027I","S.V1176F","S.M1237I","ORF1a.S2015I","ORF1a.H2698Y","ORF1b.T1522I","ORF3a.T223I","ORF1a.P1786L","ORF1b.P1727L","ORF7a.T14I","S.Q613H","E.L73I","ORF1a.A4257V","N.P13I","ORF1a.K3353R","ORF1b.H1807Q","ORF9b.H9Q","ORF9b.P10S","S.G891D","M.A69S","ORF1a.Q2574H","ORF1b.T1540N","S.E1195Q","ORF1a.S2285F","ORF1b.C3S","ORF6.Q51H","N.D341H","ORF3a.V88L","S.L5F","ORF1a.S2900L","ORF1a.V710I","ORF1a.P3504L","ORF1b.H1979Y","ORF7a.P34L","N.P13T","M.V70F","ORF1a.T3202M","ORF1a.V3718F","ORF1b.A1443V","ORF1b.T2488M","S.G232V","ORF1a.L27F","ORF1b.V2061L","S.V1177L","ORF1a.H2092Y","ORF1a.A2355S","ORF1a.G442S","ORF3a.N161D","ORF8.G50R","S.Q218L","ORF1b.D2576N","S.K1181T","ORF1a.A2701V","ORF1b.A1895V","ORF3a.S40P","ORF1a.G3676S","ORF1a.F3677L","ORF1b.P2633L","ORF9b.T83I","ORF1a.V3496L","ORF3a.D155Y","ORF3a.K235N","M.I140V","ORF1b.P2313S","ORF3a.K75N","ORF3a.G172V","ORF7a.Q94R","N.P46S","ORF1b.F274C","ORF1b.K2063N","ORF1a.L2084I","ORF1b.S904L","S.I844V","ORF1a.A478T","ORF1a.T1678I","ORF1a.G1125D","ORF1a.A1485T","ORF8.F120L","ORF1a.P2079S","ORF3a.S40L","ORF3a.L53F","S.T95I","N.A152V","ORF1b.T1137I","ORF1a.E3764D","ORF1a.H2520R","ORF1a.H3233Y","ORF1b.S997L","ORF9b.R47H","ORF1a.T1240I","ORF1b.M1596V","ORF7b.T40I","N.D377Y","ORF3a.S26L","S.P681R","ORF1a.G963D","ORF3a.L101I","N.A398V","ORF1a.A3143V","ORF1a.V3782F","ORF1a.T3284I","N.R68P","N.T198S","ORF9b.E65Q","S.Y145D","ORF7b.F28I","ORF1b.P976S"
"P.1.7","Bahrain","2021-07-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.7","Germany","2021-09-08",1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.7","Denmark","2021-07-04",1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.7","United Kingdom","2021-06-23",1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.7","Mexico","2021-06-30",1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.7","Mexico","2021-07-02",1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.7","Mexico","2021-07-04",1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.7","Germany","2021-06-15",1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.7","Germany","2021-08-09",1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P.1.7","Germany","2021-08-10",1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
