"lineage","country","date","N.R203K","N.G204R","ORF1b.P314L","S.D614G","ORF1a.T1822I","ORF1a.L3313F","ORF8.V62L","ORF9b.T83I","M.I82T","ORF1a.E1724D","ORF1a.M3425I","S.S12F","S.L452R","S.Q677H","N.Q389H","ORF1a.L1853F","S.L5F","ORF1a.T4087I","ORF1a.A2199V","ORF1a.T3255I","S.T95I","S.G339D","S.S371L","S.S373P","S.S375F","S.T478K","S.H655Y","S.D796Y","ORF1a.K2029N","ORF1a.M3652I","ORF8.E110.","ORF1a.D4187E","ORF1a.A498V","N.P67T","ORF1b.K1537R","S.G181R","ORF3a.E261.","ORF1a.L3606F","ORF1a.H3233Y","S.S325F","ORF1a.P626L","ORF1a.S528P","ORF8.E64.","ORF1a.A90V","M.T208I","ORF1a.P2221S","S.M1237T","N.S202N","ORF1a.P286L","ORF1a.D2980G","ORF1a.N3651S","ORF1b.P1000L","ORF3a.V50A","ORF8.L84S","S.L18F","S.N501Y","S.A653V","S.G1219V","ORF1b.P976L","ORF1b.E2681G","ORF3a.G172C","ORF3a.P42L","ORF1a.D1229G","S.D427Y","N.P13L","ORF9b.P10S","ORF1a.P1018S","ORF1a.M1647I","ORF1a.T2936I","ORF1b.L238F","N.A134V","ORF1b.R2676K","M.S173A","ORF1a.P765S","N.A419S","ORF1a.P3371S","ORF1b.A1884S","ORF1b.S2324I","S.Q675H","ORF1b.N1830S","ORF1a.S302F","ORF1b.E1242D","ORF1a.A1809V","ORF1b.V2223L","ORF1b.A1428V","ORF7a.R78C","S.H146Y","ORF1a.T987P","N.M234I","ORF3a.S58N","ORF3a.H78Y","ORF6.I14T","S.Q52H","S.T572I","S.D936N","M.F28L","N.S187L","N.Q418H","ORF1b.G1362R","ORF1b.P1936H","S.W152L","S.E484K","S.G769V","ORF1b.W2383C","N.R40C","ORF1a.A260V","ORF1a.N310S","ORF1a.D1939G","ORF3a.T229I"
"B.1.1.10","Armenia","2020-08-03",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.10","Australia","2020-05-01",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.10","Australia","2020-03-27",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.10","Australia","2020-04-04",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.10","Australia","2020-03-27",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.10","Egypt","2021-05-14",1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.10","United Kingdom","2020-06-07",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.10","United Kingdom","2020-06-19",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.10","United Kingdom","2020-06-18",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B.1.1.10","United Kingdom","2020-06-09",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
